,,,,,,
,גליון,קרטריון, הסבר,מקור,קישור(כן/לא),פעולות עבור מידע זה
,MASTER_Spec,סוג מקצוע,"האם מדובר בהתמחות בסיס, על או גם וגם",הר׳׳י,לא,"להציג Badge ברור, התמחות בסיס/ בסיס ועל."
,MASTER_Spec,משך_התמחות_רשמי (שנים),"משך ההתמחות הרשמי כפי שנקבע על ידי הר""י",הר׳׳י,לא,
,MASTER_Spec,הסבר על ההתמחות ע׳׳פ הרי,תיאור מסלול התמחות הבסיס בלבד ודרישותיו,הר׳׳י,לא,לא צריך להציג
,MASTER_Spec,אתר של הר׳׳י על ההתמחות,קישור לעמוד ההתמחות הרשמי,הר׳׳י,,"כפתור ""למידע רשמי באתר הר׳׳י"""
,MASTER_Spec,משך_ממוצע_בפועל,הזמן הממוצע בפועל שנדרש לסיום ההתמחות בתחום זה בכלל הארץ,משרד הבריאות,לא,להציג  מול הרשמי
,MASTER_Spec,זמן_המתנה_חציוני_לתקן,הזמן החציוני מקבלת רישיון ועד לתחילת התמחות בכלל הארץ,משרד הבריאות,,יש להציג את זה כגרפיקה של שעון
,MASTER_Spec,מספר המתקבלים שדיווחו שמצאו מיד התמחות,"מספר הרופאים שדיווחו שהחלו התמחות בתחום זה ללא המתנה אחרי הסטאז׳ ברמה הארצית. אין חובת דיווח, לכן נתון חלקי.",משרד הבריאות,,מוצג כגרף התפלגות
,MASTER_Spec,מספר המתקבלים שדיווחו שמצאו עד חצי שנה,"מספר הרופאים שדיווחו שהחלו התמחות בתחום זה עד 6 חודשים אחרי הסטאז׳ ברמה הארצית. אין חובת דיווח, לכן נתון חלקי.",משרד הבריאות,,חלק מהתפלגות
,MASTER_Spec,מספר המתקבלים שדיווחו שמצאו עד שנה,"מספר הרופאים שדיווחו שהחלו התמחות בתחום זה בין 6 ל12 חודשים אחרי הסטאז׳ ברמה הארצית. אין חובת דיווח, לכן נתון חלקי.",משרד הבריאות,,חלק מהתפלגות
,MASTER_Spec,מספר המתקבלים שדיווחו שמצאו עד שנתיים,"מספר הרופאים שדיווחו שהחלו התמחות בתחום זה בין שנה לשנתיים אחרי הסטאז׳ ברמה הארצית. אין חובת דיווח, לכן נתון חלקי.",משרד הבריאות,,חלק מהתפלגות
,MASTER_Spec,מספר המתקבלים שדיווחו שמצאו אחרי שנתיים,"מספר הרופאים שדיווחו שהחלו התמחות בתחום זה יותר משנתיים אחרי הסטאז׳ ברמה הארצית. אין חובת דיווח, לכן נתון חלקי.",משרד הבריאות,,חלק מהתפלגות
,MASTER_Spec,מספר מתמחים חדשים 2020,מספר מתמחים חדשים שהחלו התמחות בתחום בשנת 2020 בכלל הארץ,משרד הבריאות,,להציג בגרף רב-שנתי
,MASTER_Spec,מספר מתמחים חדשים 2021,מספר מתמחים חדשים שהחלו התמחות בתחום בשנת 2021 בכלל הארץ,משרד הבריאות,,גרף
,MASTER_Spec,מספר מתמחים חדשים 2022,מספר מתמחים חדשים שהחלו התמחות בתחום בשנת 2022 בכלל הארץ,משרד הבריאות,,גרף
,MASTER_Spec,מספר מתמחים חדשים 2023,מספר מתמחים חדשים שהחלו התמחות בתחום בשנת 2023 בכלל הארץ,משרד הבריאות,,גרף
,MASTER_Spec,מספר מתמחים חדשים 2024,מספר מתמחים חדשים שהחלו התמחות בתחום בשנת 2024 בכלל הארץ,משרד הבריאות,,גרף
,MASTER_Spec,שכר_לא_פריפריה,"שכר למתמחה ב100%, אשר מבצע 4 תורנוית בחודש, בבית חולים ציבורי של המדינה שאינו מוגדר בפריפריה ",סימולטור שכר של הר׳׳י,,להשוות לפריפריה
,MASTER_Spec,שכר_פריפריה,"שכר למתמחה ב100%, אשר מבצע 4 תורנוית בחודש, בבית חולים ציבורי של המדינה שמוגדר בפריפריה ",סימולטור שכר של הר׳׳י,,להשוות למרכז
,MASTER_Spec,פער_שכר_פריפריה,חישוב תוספת השכר הממוצעת בפריפריה,סימולטור שכר של הר׳׳י,,גרף השוואה
,MASTER_Spec,מספר_מתמחים,מספר המתמחים הפעילים בהתמחות בכלל הארץ,משרד הבריאות,,נתון חשוב להדגיש
,MASTER_Spec,מספר נשים,מספר הנשים הפעילות בהתמחות בכלל הארץ,משרד הבריאות,,"לא מוצג, רק מסייע בחישוב"
,MASTER_Spec,אחוז_נשים,שיעור הנשים מתוך כלל המתמחים בארץ,משרד הבריאות,,מוצג כגרף דונאט
,MASTER_Spec,מספר גברים,מספר הגברים הפעילות בהתמחות בכלל הארץ,משרד הבריאות,,"לא מוצג, רק מסייע בחישוב"
,MASTER_Spec,אחוז_גברים,שיעור הגברים מתוך כלל המתמחים בארץ,משרד הבריאות,,מוצג כגרף דונאט
,MASTER_Spec,מעבר_שלב_א,אחוז העוברים את בחינת שלב א' מ2020 בתחום ההתמחות,הר׳׳י,,להציג מול ממוצע כלל ההתמחויות
,MASTER_Spec,מעבר_שלב_ב,אחוז העוברים את בחינת שלב ב' מ2020 בתחום ההתמחות,הר׳׳י,,להציג מול ממוצע כלל ההתמחויות
,MASTER_Spec,מדד_שחיקה,מדד השחיקה הממוצע של מתמחים בתחום ההתמחות ברמה הארצית. ממוצע כלל ההתמחויות עומד על 4.5.,משרד הבריאות,,להציג מול ממוצע ארצי (4.5)
,MASTER_Spec,מספר_תקנים_שצפויים להיפתח_ארצי,,,,לא מוצג
,MASTER_Spec,עודכן_אחרון,,,,
,Master_Dept,Master_Dept,מספר הרופאים הבכירים הפעילים במחלקה.,אתר המחלקה,,
,Master_Dept,DUNS100,מספר הרופאים הבכירים מהמחלקה אשר מופיעים בדירוג DUNS100 בתחום ההתמחות הרלוונטי.,אתר DUNS100,,
,Master_Dept,משך_התמחות_רשמי,"משך ההתמחות הרשמי כפי שנקבע על ידי הר""י",הר׳׳י,,
,Master_Dept,משך_ממוצע_בפועל,הזמן הממוצע בפועל שנדרש לסיום ההתמחות בתחום זה במחלקה זו.,משרד הבריאות,,
,Master_Dept,זמן_המתנה_חציוני_לתקן,הזמן החציוני מקבלת רישיון ועד לתחילת התמחות במחלקה זו,משרד הבריאות,,
,Master_Dept,מספר המתקבלים שדיווחו שמצאו מיד התמחות,"מספר הרופאים שדיווחו שהחלו התמחות בתחום זה ללא המתנה אחרי הסטאז׳ במחלקה זו. אין חובת דיווח, לכן נתון חלקי.",משרד הבריאות,,
,Master_Dept,מספר המתקבלים שדיווחו שמצאו עד חצי שנה,"מספר הרופאים שדיווחו שהחלו התמחות בתחום זה עד 6 חודשים אחרי הסטאז׳ במחלקה זו. אין חובת דיווח, לכן נתון חלקי.",משרד הבריאות,,
,Master_Dept,מספר המתקבלים שדיווחו שמצאו עד שנה,"מספר הרופאים שדיווחו שהחלו התמחות בתחום זה בין 6 ל12 חודשים אחרי הסטאז׳ במחלקה זו. אין חובת דיווח, לכן נתון חלקי.",משרד הבריאות,,
,Master_Dept,מספר המתקבלים שדיווחו שמצאו עד שנתיים,"מספר הרופאים שדיווחו שהחלו התמחות בתחום זה בין שנה לשנתיים אחרי הסטאז׳ במחלקה זו. אין חובת דיווח, לכן נתון חלקי.",משרד הבריאות,,
,Master_Dept,מספר המתקבלים שדיווחו שמצאו אחרי שנתיים,"מספר הרופאים שדיווחו שהחלו התמחות בתחום זה יותר משנתיים אחרי הסטאז׳ במחלקה זו. אין חובת דיווח, לכן נתון חלקי.",משרד הבריאות,,
,Master_Dept,שכר_לא_פריפריה,"שכר למתמחה ב100%, אשר מבצע 4 תורנוית בחודש, בבית חולים ציבורי של המדינה שאינו מוגדר בפריפריה ",סימולטור שכר של הר׳׳י,,להשוות לפריפריה
,Master_Dept,שכר_פריפריה,"שכר למתמחה ב100%, אשר מבצע 4 תורנוית בחודש, בבית חולים ציבורי של המדינה שמוגדר בפריפריה ",סימולטור שכר של הר׳׳י,,להשוות למרכז
,Master_Dept,פער_שכר_פריפריה,חישוב תוספת השכר הממוצעת בפריפריה,סימולטור שכר של הר׳׳י,,גרף השוואה
,Master_Dept,מספר_מתמחים,מספר המתמחים הפעילים בהתמחות במחלקה זו,משרד הבריאות,,נתון חשוב להדגיש
