קרטריון,תחום_התמחות,סוג מקצוע,משך_התמחות_רשמי (שנים),הסבר על ההתמחות ע׳׳פ הרי,אתר של הר׳׳י על ההתמחות,משך_ממוצע_בפועל,זמן_המתנה_חציוני_לתקן,מספר המתקבלים שדיווחו שמצאו מיד התמחות,מספר המתקבלים שדיווחו שמצאו עד חצי שנה,מספר המתקבלים שדיווחו שמצאו עד שנה,מספר המתקבלים שדיווחו שמצאו עד שנתיים,מספר המתקבלים שדיווחו שמצאו אחרי שנתיים,מספר מתמחים חדשים 2020,מספר מתמחים חדשים 2021,מספר מתמחים חדשים 2022,מספר מתמחים חדשים 2023,מספר מתמחים חדשים 2024,שכר_לא_פריפריה,שכר_פריפריה 1,פער_שכר_פריפריה,מספר_מתמחים,מספר נשים,אחוז_נשים,מספר גברים,אחוז_גברים,מעבר_שלב_א,מעבר_שלב_ב,מדד_שחיקה,מספר מיטות בתחום,הערות למספר מיטות,מספר_תקנים_שצפויים להיפתח_ארצי,אחוז המתמחים שביצעו אלקטיב בתחום,אחוז האלקטיביסטים שהתחילו התמחות,מספר הסטאז׳רים המעוניינים בתחום ב2025,מספר הסטאז׳רים המעוניינים בתחום ב2024,אחוז הסטאז׳רים המעוניינים מסך הסטאז׳רים,אחוז המתמחים מסך המתמחים,מדד ביקוש יחסי,אחוז המתמחים מסך המתמחים,,עודכן_אחרון
מקור הנתונים + פירוט,,,,,,,משרד הבריאות - רק דיווחים של התמחות בסיס או ראשונה.,דיווחי מתמחים משרד הבריאות,דיווחי מתמחים משרד הבריאות,דיווחי מתמחים משרד הבריאות,דיווחי מתמחים משרד הבריאות,דיווחי מתמחים משרד הבריאות,דיווחי מתמחים משרד הבריאות,דיווחי מתמחים משרד הבריאות,דיווחי מתמחים משרד הבריאות,דיווחי מתמחים משרד הבריאות,דיווחי מתמחים משרד הבריאות,הר׳׳י,הר׳׳י,הר׳׳י,משרד הבריאות,משרד הבריאות,משרד הבריאות,משרד הבריאות,משרד הבריאות,,,"נתוני סקר השחיקה מה שכהה הינו נתון כללי למתמחי רפואה, לא היה על ההתמחות הזו ספציפיצית",,הסבר איזה סוגי מיטות מוגדרים במספר מיטות בתחום. מבסוסס על נתוני אגף מידע במשרד הבריאות,,,,,,בשנתיים האחרונות מבוסס על הדוח,מספר המתמחים סה׳׳כ במקצוע ביחס למספר המתמחים סה׳׳כ,"אחוז הסטאז׳רים המעוניינים במקצוע מתוך כלל הסטאז׳רים, חלקי אחוז המתמחים במקצוע מתוך כלל המתמחים. ערך 1 מציין איזון יחסי; ככל שהערך גבוה מ־1, הביקוש היחסי למקצוע גבוה יותר.",מספר המתמחים רק בשנתיים,,
,רפואת המשפחה,בסיס,4,"4 שנים מהן:

א. 15 חודשים במחלקה לרפואת המשפחה - מרפאת שלב א' בליווי מדריך.

ב. 9 חודשים במחלקה פנימית

ג. 2 חודשים במחלקה לרפואה דחופה

ד. 5 חודשים ברפואת ילדים במקצועות אלה:

ד. 1. חודשיים מחלקת ילדים
ד. 2. חודשיים במחלקה לרפואה דחופה ילדים
ד. 3. חודש אחד במרפאת ילדים בבי""ח או מרפאת ילדים בקהילה או אשפוז יום ילדים


ה. 2 חודשים מרפאה פסיכיאטרית אמבולטורית בקהילה או בבית החולים

ו. 2 חודשים רוטציות בחירה בתקופות של חודש כל אחת או חודשיים מתוך המקצועות הבאים:
אונקולוגיה, אורתופדיה, אימונולוגיה קלינית ואלרגולוגיה, אנדוקרינולוגיה, גסטרואנטרולוגיה ומחלות כבד, גריאטריה, כירורגיה כללית, מחלות אף אוזן גרון וכירורגיה של ראש וצוואר, מחלות זיהומיות, מחלות עור ומין, מחלות עיניים, מחלות ריאה, נוירולוגיה, נפרולוגיה, פסיכיאטריה, קרדיולוגיה, ראומטולוגיה, רפואה פיסיקלית ושיקום, רפואה תעסוקתית, יילוד וגינקולוגיה, פסיכיאטריה של הילד והמתבגר, נוירולוגית ילדים והתפתחות הילד, קרדיולוגית ילדים, מחלות ריאה ילדים, גסטרואנטרולוגיית ילדים, אנדוקרינולוגיית ילדים, רפואה לשיכוך כאב, רפואה פליאטיבית, מחקר.

ז. 1 חודש מחלקה לרפואת המשפחה

ח. 12 חודשים מחלקה לרפואת המשפחה - מרפאה שלב ב'.

ט.  קורס אוניברסיטאי ברפואת המשפחה, בן שישה סמסטרים לפחות, שהכיר בו המנהל וכן עמידה בדרישות האוניברסיטה בסיומו.

 

** תכנית התמחות זו נכנסת לתוקף מיום 05/08/2022 עבור מתמחים שטרם השלימו שליש מתקופת התמחותם הכוללת עד תאריך זה.4 שנים מהן:

א. 15 חודשים במחלקה לרפואת המשפחה - מרפאת שלב א' בליווי מדריך.

ב. 9 חודשים במחלקה פנימית

ג. 2 חודשים במחלקה לרפואה דחופה

ד. 5 חודשים ברפואת ילדים במקצועות אלה:

ד. 1. חודשיים מחלקת ילדים
ד. 2. חודשיים במחלקה לרפואה דחופה ילדים
ד. 3. חודש אחד במרפאת ילדים בבי""ח או מרפאת ילדים בקהילה או אשפוז יום ילדים


ה. 2 חודשים מרפאה פסיכיאטרית אמבולטורית בקהילה או בבית החולים

ו. 2 חודשים רוטציות בחירה בתקופות של חודש כל אחת או חודשיים מתוך המקצועות הבאים:
אונקולוגיה, אורתופדיה, אימונולוגיה קלינית ואלרגולוגיה, אנדוקרינולוגיה, גסטרואנטרולוגיה ומחלות כבד, גריאטריה, כירורגיה כללית, מחלות אף אוזן גרון וכירורגיה של ראש וצוואר, מחלות זיהומיות, מחלות עור ומין, מחלות עיניים, מחלות ריאה, נוירולוגיה, נפרולוגיה, פסיכיאטריה, קרדיולוגיה, ראומטולוגיה, רפואה פיסיקלית ושיקום, רפואה תעסוקתית, יילוד וגינקולוגיה, פסיכיאטריה של הילד והמתבגר, נוירולוגית ילדים והתפתחות הילד, קרדיולוגית ילדים, מחלות ריאה ילדים, גסטרואנטרולוגיית ילדים, אנדוקרינולוגיית ילדים, רפואה לשיכוך כאב, רפואה פליאטיבית, מחקר.

ז. 1 חודש מחלקה לרפואת המשפחה

ח. 12 חודשים מחלקה לרפואת המשפחה - מרפאה שלב ב'.

ט.  קורס אוניברסיטאי ברפואת המשפחה, בן שישה סמסטרים לפחות, שהכיר בו המנהל וכן עמידה בדרישות האוניברסיטה בסיומו.

 ",https://www.ima.org.il/Internship/Syllabus.aspx?SpId=99,4.9,6,341,491,236,135,63,190,232,257,222,229,"16,954.00","19,965.92","3,011.92",1072,579,52.49%,524.00,47.51%,63.45%,71.60%,3.9,,,,65%,50%,203,255,13.98%,12.92%,1.08,12.33%,1.13,
,פסיכיאטריה,בסיס,4.5,"ארבע שנים וחצי ובהן:

א. שנתיים במחלקה פסיכיאטרית פעילה, ויכול שמתוכן תהיה שנה במחלקת טיפול יום פעילה בקהילה או בבית חולים, או יכול שמתוכן חצי שנה תהיה במחלקה לפסיכיאטריה של הילד והמתבגר – חובה.

ב. שנה בשירות פסיכיאטרי אמבולטורי למבוגר במרפאה לבריאות הנפש - חובה.

ג. חצי שנה בנוירולוגיה או שלושה חודשים בנוירולוגיה ושלושה חודשים במחלקה לרפואה פנימית, או שלושה חודשים בנוירולוגיה ושלושה חודשים ברפואת המשפחה.

ד. חצי שנה באחת מן הבאות: מחלקה או מרפאה לטיפול פסיכיאטרי במבוגר, מרפאה לפסיכיאטריה של הילד והמתבגר, מחלקת יום פסיכיאטרית, יחידה פסיכוגריאטרית, מחלקת פסיכיאטריה שיקומית או פסיכיאטריה משפטית.

ה. חצי שנה מדעי יסוד.",https://www.ima.org.il/internship/Syllabus.aspx?SpId=50,5.6,3,164,152,76,21,19,70,73,73,91,93,"16,954.00","19,965.92","3,011.92",415,182,42.13%,250.00,57.87%,78.17%,62.28%,4.7,,,,64%,59%,80,66,4.46%,5.00%,0.89,5.03%,0.89,
,פסיכיאטריה של הילד והמתבגר,בסיס,5,"5 שנים מהן -

א. שנה אחת במרפאה פסיכיאטרית לילד ולמתבגר;

ב. שנה אחת במחלקה פסיכיאטרית לילד ולמתבגר, ויכול ש-3 חודשים ממנה יהיו במחלקת יום לילד ולמתבגר;

ג. 9 חודשים במחלקה פסיכיאטריה (של המבוגר).

ד. שנה אחת ב-2 תקופות של 6 חודשים כל אחת במקצועות הבאים:

במחלקה פסיכיאטרית לילד ולמתבגר;
במרפאה פסיכיאטרית לילד ולמתבגר;
במחלקת אשפוז יום פסיכיאטרי לילד ולמתבגר;
במרפאה פסיכיאטרית (של המבוגר)

ה. 6 חודשים בהתפתחות הילד, ויכול ששלושה חודשים מתוכם יהיו במרפאה לגיל הרך.

ו. 3 חודשים במחלקת ילדים

ז. 6 חודשים מדעי יסוד",https://www.ima.org.il/Internship/Syllabus.aspx?SpId=51,5.9,3,64,61,28,10,2,15,20,40,42,39,"16,954.00","19,965.92","3,011.92",147,101,66.01%,52.00,33.99%,#DIV/0!,73.37%,4.5,,,,,,30,21,1.56%,1.77%,0.88,2.21%,0.70,
,גריאטריה,בסיס ועל,4.5,"מסלול בסיס:
½4 שנים מהן –
2 שנים גריאטריה;
שנה וחצי רפואה פנימית;
3 חודשים מרפאה גריאטריה קהילתית;
3 חודשים באחד מן המקצועות האלה: יחידה גריאטרית מייעצת בבית חולים כללי (המוכרת באופן עצמאי לרוטציה זו), נוירולוגיה, אורתופדיה, שיקום (כללי), פסיכיאטריה מבוגרים, רפואה פליאטיבית, קרדיולוגיה, אונקולוגיה, ראומטולוגיה, המטולוגיה, אנדוקרינולוגיה, גסטרואנטרולוגיה, טיפול נמרץ כללי, מחלות זיהומיות, מחלות ריאה, רפואה לשיכוך כאב, רפואה דחופה, כירורגיה כללית, א.א.ג, נפרולוגיה;
חצי שנה מדעי היסוד;",https://www.ima.org.il/internship/syllabus.aspx?spid=42,5.5,12.5,66,72,87,80,44,44,51,64,44,68,"16,954.00","19,965.92","3,011.92",310,91,26.92%,247.00,73.08%,35.32%,65.59%,4.1,,,,22%,56%,27,40,2.04%,3.74%,0.55,3.06%,0.67,
,רפואה פיזיקלית ושיקום,בסיס ועל,4," מסלול בסיס; (החל מתאריך 8.4.17)

4 שנים, מהן –

½2 שנים במחלקה לרפואה פיזיקלית ושיקום;

3 חודשים רפואה פנימית;

3 חודשים כירורגיה אורתופדית;

3 חודשים נוירולוגיה;

3 חודשים באחד ממקצועות אלה: נוירוכירורגיה, כירורגיה אורתופדית (תקופה נוספת), פסיכיאטריה, נוירולוגיה (תקופה נוספת), שיקום לב, התפתחות הילד, גריאטריה, אלקטרו פיזיולוגיה קלינית, ראומטולוגיה, נוירורדיולוגיה;

½ שנה מדעי יסוד.",https://www.ima.org.il/internship/Syllabus.aspx?SpId=43,5.1,7.5,39,37,26,18,9,18,11,22,12,29,"16,954.00","19,965.92","3,011.92",106,55,46.22%,64.00,53.78%,43.49%,44.61%,4.6,,,,30%,42%,10,11,0.64%,1.28%,0.50,1.12%,0.57,
,רפואת ילדים,בסיס,4.5,"½4 שנים, מהן –

33 חודשים במחלקה לרפואת ילדים, ויכול שחלק מתקופה זו יהיה באחד או יותר מהמקצועות האלה: חודשיים במחלקה לרפואה דחופה ילדים; 3 חודשים ביחידת טיפול נמרץ ילדים;
½ שנה במחלקת יונקים וטיפול מיוחד בילוד;
½ שנה במרפאת ילדים קהילתית או במרפאת יעוץ כללי לילדים, בעבודה משולבת עם מחלקת ילדים או יחידת יום לילדים;
חודש ברפואה דחופה ילדים;
חודשיים, בתקופות רצופות של חודש לפחות כל אחת, באחד או יותר מהמקצועות האלה:
הימטו-אונקולוגית ילדים, אנדוקרינולוגית ילדים, מחלות אף אוזן וגרון וכירורגית ראש וצוואר, גסטרואנטרולוגית ילדים, טיפול נמרץ ילדים, מחלות עור ומין, מחלות ריאה ילדים, מחלקת יילוד וגינקולוגיה, נוירולוגית ילדים והתפתחות הילד, נפרולוגית ילדים, פסיכיאטריה של הילד והמתבגר, קרדיולוגית ילדים, רדיולוגיה אבחנתית, רפואה פיזיקלית ושיקום, גנטיקה רפואית, כירורגית ילדים, מחלות זיהומיות, אימונולוגיה קלינית ואלרגולוגית ילדים, ראומטולוגית ילדים, רפואה דחופה ילדים, מחלות עור ומין ילדים, אימונולוגיה קלינית ואלרגולוגיה, פרמקולוגיה קלינית, מרפאת ילדים בקהילה, רפואה פליאטיבית.
 ½ שנה מדעי יסוד.",https://www.ima.org.il/internship/Syllabus.aspx?SpId=10,5.0,3,532,341,203,103,32,177,175,179,208,236,"16,954.00","19,965.92","3,011.92",882,548,62.41%,330.00,37.59%,84.92%,88.27%,4.6,1048,מוגדר כמספר מיטות ילדים בלבד,,80%,65%,241,239,14.65%,10.63%,1.38,12.13%,1.21,
,יילוד וגינקולוגיה,בסיס,6,"6 שנים מהן –
 

א. ½4 שנים ביילוד וגינקולוגיה ובפריון, ובהן:

½1 שנים יילוד – חובה;

12 חודשים גינקולוגיה – חובה;

6 חודשים פריון – חובה;

½1 שנים יילוד וגינקולוגיה – חובה;


ב.  12 חודשים לפי בחירה בין:

6 חודשים בכל אחד משניים ממקצועות אלה, או ארבעה חודשים בכל אחד משלושה ממקצועות אלה:

כירורגיה כללית, כירורגיה אורולוגית, הרדמה, טיפול נמרץ כללי, אנדוקרינולוגיה, פגים, אונקולוגיה, בריאות הציבור (תחנה לאם ולילד או מרכז לבריאות האישה), אולטרה סאונד, יחידת הפריה חוץ גופית, גנטיקה רפואית, אנדוקרינולוגיה פדיאטרית.


6 חודשים מדעי יסוד.",https://www.ima.org.il/internship/Syllabus.aspx?SpId=20,6.5,4,206,237,183,97,16,103,113,113,137,110,"16,954.00","19,965.92","3,011.92",697,554,78.81%,149.00,21.19%,74.40%,82.48%,4.7,2562,"מוגדר כמספר מיטות נשים, כניקואונקולוגיה, נפגעי תקיפה מינית, רפואת האם והעובר, ויילוד",,95%,57%,131,106,7.23%,8.40%,0.86,6.75%,1.07,
,אף אוזן גרון,בסיס,6,"משך ההתמחות 6 שנים מהן:

4 שנים ותשעה חודשים במחלקת האם - חובה.
3 חודשים במחלקה לכירורגיה כללית או במחלקה לטיפול נמרץ כללי או במחלקת הרדמה;
6 חודשים רצופים או 2 תקופות של 3 חודשים כל אחת במחלקות אלה: כירורגיה כללית, טיפול נמרץ כללי, טיפול נמרץ ילדים, הרדמה, נוירוכירורגיה, נוירולוגיה, גנטיקה, כירורגיית פה ולסתות, כירורגיה פלסטית, כירורגיית כלי דם, מחלות עיניים, דימות, אונקולוגיה, מחלקת אף אוזן גרון במרכז רפואי אחר (3 חודשים בלבד), אף אוזן גרון בקהילה.
6 חודשים מדעי יסוד.
 

במקצועות כירורגיה כללית, טיפול נמרץ כללי והרדמה לא ניתן לעבור התמחות העולה על 6 חודשים במהלך כל תקופת ההתמחות.",https://www.ima.org.il/internship/Syllabus.aspx?SpId=44,6.7,4,39,58,68,41,14,26,37,29,39,43,"16,954.00","19,965.92","3,011.92",193,65,32.99%,132.00,67.01%,80.08%,76.61%,4.8,327,מוגדר כמספר מיטות א.א.ג ראש וצוואר בלבד,,88%,42%,45,35,2.44%,2.33%,1.05,2.24%,1.09,
,מחלות עיניים,בסיס,5,"(החל מתאריך 11.8.2019)

5 שנים, מהן –

1. 4 שנים במחלקה לרפואת עיניים – מ.ר.

2. 6 חדשים בתקופות רצופות של חודש לפחות כל אחת, באחד או יותר מהמקצועות האלה: הרדמה, כירורגיה פלסטית, נוירוכירורגיה, נוירולוגיה, רדיולוגיה אבחנתית, רפואה פנימית, רפואת ילדים, מחלות אף אוזן וגרון וכירורגיה של ראש-צוואר.

או

3 חודשים בתקופות רצופות של חודש לפחות כל אחת, באחד או יותר מהמקצועות המפורטים לעיל בפרט משנה זה ו- 3 חודשים בתקופות רצופות של חודש לפחות כל אחת במחלקת עיניים אחרת באחד מהמקצועות האלה: גלאוקומה, מחלות עיניים בילדים כולל פזילה, נוירו-אופטלמולוגיה, פלסטיקה וארובת העין, אובאיטיס, גידולי עיניים, קטרקט, קרנית, רשתית.

3. 6 חודשים מדעי היסוד

את הרוטציה בסעיף ב', יש לבצע במחלקה אחרת ממחלקת האם.",https://www.ima.org.il/internship/Syllabus.aspx?SpId=78,5.7,3,56,87,72,43,18,44,44,41,51,57,"16,954.00","19,965.92","3,011.92",251,113,44.66%,140.00,55.34%,76.38%,71.61%,4.5,281,מוגדר כמספר מיטות עיניים בלבד,,89%,56%,54,58,3.42%,3.03%,1.13,2.95%,1.16,
