departmentUrl,departmentHebrew,fetched,candidateCount,patternTypes,recommendedParserTypes,suspicious,suspiciousEvidence,error
"https://hospitals.clalit.co.il/soroka/he/med-units/Pages/units-index.aspx","אינדקס יחידות","true","3","staffPage","genericStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/Pages/services-list.aspx","שירותים רפואיים","true","1","staffPage","genericStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/ob-gyn-division/Pages/default.aspx","החטיבה למיילדות וגינקולוגיה","true","1","staffPage","genericStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/pediatrics-division/Pages/default.aspx","בית חולים סבן לילדים","true","1","staffPage","genericStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/medicine-division/Pages/default.aspx","חטיבה פנימית","true","1","staffPage","genericStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/surgery-division/Pages/default.aspx","חטיבה כירורגית","true","1","staffPage","genericStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/anesthesiology-division/Pages/default.aspx","החטיבה להרדמה ולטיפול נמרץ","true","1","staffPage","genericStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/oncology-inst/Pages/default.aspx","מרכז לגסי הריטג' לאונקולוגיה ומכון ד""ר לארי נורטון","true","1","staffPage","genericStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/default.aspx","המערך הקרדיולוגי","true","1","staffPage","genericStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/Pages/life-inst.aspx","מערך מציל חיים","true","1","staffPage","genericStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/imaging/Pages/default.aspx","מערך דימות","true","1","staffPage","genericStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/Ophthalmology/Pages/Ophthalmology1.aspx","מערך עיניים","true","1","staffPage","genericStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/surgery-division/Pages/orthopedic-array.aspx","המערך האורתופדי","true","1","staffPage","genericStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/Pages/er.aspx","מלר""ד (מיון כללי)","true","2","staffPage | inlineStaffPage","genericStaffPage | inlineStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/pediatrics-division/Pages/ped-ed.aspx","מלר""ד ילדים (מיון ילדים)","true","2","staffPage | inlineStaffPage","genericStaffPage | inlineStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/ob-gyn-division/Pages/obstetrics-ed.aspx","מיון יולדות וחדר לידה","true","2","staffPage | inlineStaffPage","genericStaffPage | inlineStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/Pages/isotop-inst.aspx","מכון לרפואה גרעינית ודימות מולקולרי (איזוטופים)","true","2","staffPage | inlineStaffPage","genericStaffPage | inlineStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/Pages/brain-division.aspx","חטיבת המוח","true","1","staffPage","genericStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/Pages/rehabilitation.aspx","מחלקת שיקום","true","2","staffPage | inlineStaffPage","genericStaffPage | inlineStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/surgery-division/Pages/cardiothoracicsurg.aspx","מחלקת כירורגיית לב וחזה ע""ש סמי עופר","true","2","staffPage | inlineStaffPage","genericStaffPage | inlineStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/psychiatry/Pages/default.aspx","מחלקת פסיכיאטריה","true","1","staffPage","genericStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/medicine-division/Pages/gastro-institute.aspx","מכון גסטרואנטרולוגיה","true","2","staffPage | inlineStaffPage","genericStaffPage | inlineStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/medicine-division/Pages/pulmonology.aspx","מכון לרפואת ריאות","true","2","staffPage | inlineStaffPage","genericStaffPage | inlineStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/surgery-division/Pages/women-health-center.aspx","מרכז בריאות השד","true","2","staffPage | inlineStaffPage","genericStaffPage | inlineStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/Pages/genetic-inst.aspx","מכון לגנטיקה של האדם","true","2","staffPage | inlineStaffPage","genericStaffPage | inlineStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/surgery-division/Pages/oralsurgclin.aspx","היחידה לכירורגיית פה ולסת","true","2","staffPage | inlineStaffPage","genericStaffPage | inlineStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/Pages/pre-operation.aspx","מרפאת טרום-ניתוח","true","1","staffPage","genericStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/Pages/pathology.aspx","המכון לפתולוגיה","true","2","staffPage | inlineStaffPage","genericStaffPage | inlineStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/Pages/laboratories.aspx","מערך המעבדות","true","1","staffPage","genericStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/Pages/infect-prevent.aspx","מניעת זיהומים","true","2","staffPage | inlineStaffPage","genericStaffPage | inlineStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/ob-gyn-division/Pages/ob-gyn-us-unit.aspx","המכון לאולטרה-סאונד גינקולוגי ומיילדותי","true","2","staffPage | inlineStaffPage","genericStaffPage | inlineStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/imaging/Pages/us.aspx","מכון אולטרה-סאונד - בדיקה על-קולית","true","1","staffPage","genericStaffPage","false","",""
"https://hospitals.clalit.co.il/soroka/he/med-units/Pages/soroka-pregnancy.aspx","סורוקה הריון ולידה","true","1","staffPage","genericStaffPage","false","",""
