candidateId,titleHebrew,url,sourceDepartmentPage,patternType,confidence,pageType,recommendedAction,reason,parserRisk,duplicateGroup,parentDivision
soroka-surgery-division,מחלקה לכירורגיית כלי-דם,https://hospitals.clalit.co.il/soroka/he/med-units/surgery-division/Pages/vasc-surgery-staff.aspx,https://hospitals.clalit.co.il/soroka/he/med-units/surgery-division/Pages/vasc-surgery.aspx,staffPage,0.95,coreDepartment,review,duplicate/near-duplicate group title-d86d49bc,high,title-d86d49bc,surgery
soroka-anesthesiology-division,היחידה לטיפול בכאב חריף,https://hospitals.clalit.co.il/soroka/he/med-units/anesthesiology-division/Pages/acute-pain-treatment-unit.aspx,https://hospitals.clalit.co.il/soroka/he/med-units/anesthesiology-division/Pages/acute-pain-treatment-unit.aspx,inlineStaffPage,0.9,unit,import,known HTML staff/inline page with usable confidence,low,,anesthesiology
soroka-anesthesiology-division,"המחלקה לטיפול-נמרץ כללי ע""ש סמי עופר",https://hospitals.clalit.co.il/soroka/he/med-units/anesthesiology-division/Pages/gicu.aspx,https://hospitals.clalit.co.il/soroka/he/med-units/anesthesiology-division/Pages/gicu.aspx,inlineStaffPage,0.9,coreDepartment,import,known HTML staff/inline page with usable confidence,low,,anesthesiology
soroka-anesthesiology-division,מרפאת כאב,https://hospitals.clalit.co.il/soroka/he/med-units/anesthesiology-division/Pages/pain-clin.aspx,https://hospitals.clalit.co.il/soroka/he/med-units/anesthesiology-division/Pages/pain-clin.aspx,inlineStaffPage,0.9,clinic,import,known HTML staff/inline page with usable confidence,low,,anesthesiology
soroka-cardiology,קרדיולוגיה התערבותית (צנתורים),https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/card-angio.aspx,https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/card-angio.aspx,inlineStaffPage,0.9,unknown,review,page type could not be classified,medium,,cardiology
soroka-cardiology,מרפאות קרדיולוגיה,https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/card-clin.aspx,https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/card-clin.aspx,inlineStaffPage,0.9,clinic,import,known HTML staff/inline page with usable confidence,low,,cardiology
soroka-cardiology,היחידה לאלקטרופיזיולוגיה וקוצבי לב,https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/card-electro.aspx,https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/card-electro.aspx,inlineStaffPage,0.9,unit,review,duplicate/near-duplicate group title-871dacea,high,title-871dacea,cardiology
soroka-cardiology,יחידת אקו לב,https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/echo.aspx,https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/echo.aspx,inlineStaffPage,0.9,unknown,review,page type could not be classified,medium,,cardiology
soroka-cardiology,מרפאת אי-ספיקת לב,https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/heart-fail-clin.aspx,https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/heart-fail-clin.aspx,inlineStaffPage,0.9,clinic,import,known HTML staff/inline page with usable confidence,low,,cardiology
soroka-cardiology,דימות הלב,https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/heart-imaging.aspx,https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/heart-imaging.aspx,inlineStaffPage,0.9,unknown,review,page type could not be classified,medium,,cardiology
soroka-cardiology,שיקום לב,https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/heart-rehabilitation.aspx,https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/heart-rehabilitation.aspx,inlineStaffPage,0.9,unknown,review,page type could not be classified,medium,,cardiology
soroka-cardiology,טיפול-נמרץ לב וטיפול-נמרץ לב ביניים,https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/iccu.aspx,https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/iccu.aspx,inlineStaffPage,0.9,unknown,review,page type could not be classified,medium,,cardiology
soroka-cardiology,קרדיולוגיית ילדים,https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/ped-cardio.aspx,https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/ped-cardio.aspx,inlineStaffPage,0.9,unknown,review,page type could not be classified,medium,,cardiology
soroka-cardiology,מרפאת טרום צנתור,https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/pre.aspx,https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/pre.aspx,inlineStaffPage,0.9,clinic,import,known HTML staff/inline page with usable confidence,low,,cardiology
soroka-cardiology,מבחני מאמץ,https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/stress-test.aspx,https://hospitals.clalit.co.il/soroka/he/med-units/cardiology/Pages/stress-test.aspx,inlineStaffPage,0.9,unknown,review,page type could not be classified,medium,,cardiology
soroka-imaging,טומוגרפיה ממוחשבת –CT,https://hospitals.clalit.co.il/soroka/he/med-units/imaging/Pages/ct.aspx,https://hospitals.clalit.co.il/soroka/he/med-units/imaging/Pages/ct.aspx,inlineStaffPage,0.9,unknown,review,page type could not be classified,medium,,imaging
soroka-imaging,הדמייה בתהודה מגנטית - MRI,https://hospitals.clalit.co.il/soroka/he/med-units/imaging/Pages/mri.aspx,https://hospitals.clalit.co.il/soroka/he/med-units/imaging/Pages/mri.aspx,inlineStaffPage,0.9,unknown,review,page type could not be classified,medium,,imaging
soroka-medicine-division,מרפאת אלרגיה (למבוגרים),https://hospitals.clalit.co.il/soroka/he/med-units/medicine-division/Pages/allergyclinic.aspx,https://hospitals.clalit.co.il/soroka/he/med-units/medicine-division/Pages/allergyclinic.aspx,inlineStaffPage,0.9,clinic,import,known HTML staff/inline page with usable confidence,low,,medicine
