url,sourceUrl,anchorText,patternType,parserFamily,confidence,evidence
https://www.clalit.co.il/he/myrights/fees/Pages/doctors.aspx,https://www.clalit.co.il/he/myrights/fees/Pages/doctors.aspx,"אגרת ביקור אצל רופאים מומחים, דיאטנים ופודיאטרים",doctorIndex,searchDriven,0.9,"אגרת ביקור אצל רופאים מומחים, דיאטנים ופודיאטרים https://www.clalit.co.il/he/myrights/fees/Pages/doctors.aspx"
https://www.clalit.co.il/he/myrights/medical-tests/Pages/medical-specialist.aspx,https://www.clalit.co.il/he/myrights/fees/Pages/doctors.aspx,התייעצות עם רופאים מומחים בארץ לחוות דעת שנייה,doctorIndex,searchDriven,0.9,התייעצות עם רופאים מומחים בארץ לחוות דעת שנייה https://www.clalit.co.il/he/myrights/medical-tests/Pages/medical-specialist.aspx
https://www.clalit.co.il/he/myrights/online-doctors/Pages/default.aspx,https://www.clalit.co.il/he/myrights/fees/Pages/doctors.aspx,רפואת און־ליין,doctorPage,teamPage,0.82,רפואת און־ליין https://www.clalit.co.il/he/myrights/online-doctors/Pages/default.aspx
https://www.clalit.co.il/he/myrights/online-doctors/Pages/dermatologist-online.aspx,https://www.clalit.co.il/he/myrights/fees/Pages/doctors.aspx,רופא עור און־ליין,doctorPage,teamPage,0.82,רופא עור און־ליין https://www.clalit.co.il/he/myrights/online-doctors/Pages/dermatologist-online.aspx
https://www.clalit.co.il/he/myrights/online-doctors/Pages/kids-online.aspx,https://www.clalit.co.il/he/myrights/fees/Pages/doctors.aspx,רופא ילדים און־ליין,doctorPage,teamPage,0.82,רופא ילדים און־ליין https://www.clalit.co.il/he/myrights/online-doctors/Pages/kids-online.aspx
https://www.clalit.co.il/he/myrights/online-doctors/Pages/online-o18.aspx,https://www.clalit.co.il/he/myrights/fees/Pages/doctors.aspx,רופא משפחה און־ליין,doctorPage,teamPage,0.82,רופא משפחה און־ליין https://www.clalit.co.il/he/myrights/online-doctors/Pages/online-o18.aspx
https://www.clalit.co.il/he/myrights/online-doctors/Pages/Ophthalmologist-online.aspx,https://www.clalit.co.il/he/myrights/fees/Pages/doctors.aspx,רופא עיניים און־ליין,doctorPage,teamPage,0.82,רופא עיניים און־ליין https://www.clalit.co.il/he/myrights/online-doctors/Pages/Ophthalmologist-online.aspx
https://www.clalit.co.il/he/myrights/online-doctors/Pages/tyto.aspx,https://www.clalit.co.il/he/myrights/fees/Pages/doctors.aspx,מכשיר Tyto (טייטו) לבדיקות מרחוק,doctorPage,teamPage,0.82,מכשיר Tyto (טייטו) לבדיקות מרחוק https://www.clalit.co.il/he/myrights/online-doctors/Pages/tyto.aspx
https://www.clalit.co.il/he/october23war/Pages/doctors.aspx,https://www.clalit.co.il/he/myrights/fees/Pages/doctors.aspx,צריכים רופא/ה?,doctorPage,teamPage,0.82,צריכים רופא/ה? https://www.clalit.co.il/he/october23war/Pages/doctors.aspx
https://www.clalit.co.il/he/online_doctors/Pages/abroad.aspx,https://www.clalit.co.il/he/myrights/online-doctors/Pages/dermatologist-online.aspx,"כל הפרטים על קבלת ייעוץ מחו""ל.",doctorPage,teamPage,0.82,"כל הפרטים על קבלת ייעוץ מחו""ל. https://www.clalit.co.il/he/online_doctors/Pages/abroad.aspx"
https://www.clalit.co.il/he/online_doctors/Pages/default.aspx,https://www.clalit.co.il/he/myrights/fees/Pages/doctors.aspx,רפואת און־ליין,doctorPage,teamPage,0.82,רפואת און־ליין https://www.clalit.co.il/he/online_doctors/Pages/default.aspx
https://www.clalit.co.il/he/online_doctors/Pages/mashlima_on_line.aspx,https://www.clalit.co.il/he/myrights/fees/Pages/doctors.aspx,רפואה משלימה און־ליין,doctorPage,teamPage,0.82,רפואה משלימה און־ליין https://www.clalit.co.il/he/online_doctors/Pages/mashlima_on_line.aspx
https://www.clalit.co.il/he/sefersherut/pages/services_guide.aspx?service=doctors,https://www.clalit.co.il/he/myrights/fees/Pages/doctors.aspx,רופאים/ת ומטפלים/ת,doctorPage,teamPage,0.82,רופאים/ת ומטפלים/ת https://www.clalit.co.il/he/sefersherut/pages/services_guide.aspx?service=doctors
https://www.clalit.co.il/he/sefersherut/Pages/services_guide.aspx?service=doctors,https://www.clalit.co.il/he/myrights/fees/Pages/doctors.aspx,רופאים ומטפלים,doctorPage,teamPage,0.82,רופאים ומטפלים https://www.clalit.co.il/he/sefersherut/Pages/services_guide.aspx?service=doctors
https://www.clalit.co.il/he/info/career/Pages/specialists.aspx,https://www.clalit.co.il/he/info/career/Pages/family_docs.aspx,רפואה יועצת בקהילה: כללית זה המקום בשבילך,unknown,teamPage,0.65,רפואה יועצת בקהילה: כללית זה המקום בשבילך https://www.clalit.co.il/he/info/career/Pages/specialists.aspx
https://www.clalit.co.il/he/info/services/Pages/write_the_doctor.aspx,https://www.clalit.co.il/he/myrights/fees/Pages/doctors.aspx,פנייה לרופא/ת עור,unknown,teamPage,0.65,פנייה לרופא/ת עור https://www.clalit.co.il/he/info/services/Pages/write_the_doctor.aspx
https://www.clalit.co.il/he/myrights/home-care/Pages/doctor-visit.aspx,https://www.clalit.co.il/he/myrights/fees/Pages/doctors.aspx,ביקור רופא בבית,unknown,teamPage,0.65,ביקור רופא בבית https://www.clalit.co.il/he/myrights/home-care/Pages/doctor-visit.aspx
https://www.clalit.co.il/he/myrights/medical-tests/Pages/medical-specialist-abroad.aspx,https://www.clalit.co.il/he/myrights/fees/Pages/doctors.aspx,"חוות דעת שנייה מרופאה או רופא מומחים בחו""ל (מדינות חוץ)",unknown,teamPage,0.65,"חוות דעת שנייה מרופאה או רופא מומחים בחו""ל (מדינות חוץ) https://www.clalit.co.il/he/myrights/medical-tests/Pages/medical-specialist-abroad.aspx"
