url,sourceUrl,anchorText,patternType,parserFamily,confidence,evidence
https://hospitals.clalit.co.il/geha/he/about/Pages/Team/IManor.aspx,https://hospitals.clalit.co.il/geha/he/pro/Pages/team.aspx,מנור-אברבנאל איריס,teamPage,teamPage,0.82,מנור-אברבנאל איריס https://hospitals.clalit.co.il/geha/he/about/Pages/Team/IManor.aspx
https://hospitals.clalit.co.il/geha/he/about/Pages/Team/nkatz.aspx,https://hospitals.clalit.co.il/geha/he/pro/Pages/team.aspx,כץ אבי נחום,teamPage,teamPage,0.82,כץ אבי נחום https://hospitals.clalit.co.il/geha/he/about/Pages/Team/nkatz.aspx
https://hospitals.clalit.co.il/geha/he/about/Pages/Team/sgur.aspx,https://hospitals.clalit.co.il/geha/he/pro/Pages/team.aspx,גור שי יהושע,teamPage,teamPage,0.82,גור שי יהושע https://hospitals.clalit.co.il/geha/he/about/Pages/Team/sgur.aspx
https://hospitals.clalit.co.il/geha/he/about/Pages/Team/zalsman.aspx,https://hospitals.clalit.co.il/geha/he/pro/Pages/team.aspx,גיל זלצמן,teamPage,teamPage,0.82,גיל זלצמן https://hospitals.clalit.co.il/geha/he/about/Pages/Team/zalsman.aspx
https://hospitals.clalit.co.il/geha/he/about/Pages/Team/zfishel.aspx,https://hospitals.clalit.co.il/geha/he/pro/Pages/team.aspx,פישל צבי חיים,teamPage,teamPage,0.82,פישל צבי חיים https://hospitals.clalit.co.il/geha/he/about/Pages/Team/zfishel.aspx
https://hospitals.clalit.co.il/geha/he/med/mature/Pages/Team/acriboy.aspx,https://hospitals.clalit.co.il/geha/he/pro/Pages/team.aspx,אמיר קריבוי,teamPage,teamPage,0.82,אמיר קריבוי https://hospitals.clalit.co.il/geha/he/med/mature/Pages/Team/acriboy.aspx
https://hospitals.clalit.co.il/geha/he/med/mature/Pages/Team/eberger.aspx,https://hospitals.clalit.co.il/geha/he/pro/Pages/team.aspx,ברגר אהוד,teamPage,teamPage,0.82,ברגר אהוד https://hospitals.clalit.co.il/geha/he/med/mature/Pages/Team/eberger.aspx
https://hospitals.clalit.co.il/geha/he/med/mature/Pages/Team/shayk.aspx,https://hospitals.clalit.co.il/geha/he/pro/Pages/team.aspx,קונס שי,teamPage,teamPage,0.82,קונס שי https://hospitals.clalit.co.il/geha/he/med/mature/Pages/Team/shayk.aspx
https://hospitals.clalit.co.il/geha/he/med/teens/Pages/team/mpaskin.aspx,https://hospitals.clalit.co.il/geha/he/pro/Pages/team.aspx,פסקין מרים,teamPage,teamPage,0.82,פסקין מרים https://hospitals.clalit.co.il/geha/he/med/teens/Pages/team/mpaskin.aspx
https://hospitals.clalit.co.il/geha/he/Pages/searchresult.aspx#k=%d7%9e%d7%99%d7%93%d7%a2%20%d7%9e%d7%a7%d7%a6%d7%95%d7%a2%d7%99%20%d7%9c%d7%a8%d7%95%d7%a4%d7%90%d7%99%d7%9d,https://hospitals.clalit.co.il/geha/he/stud/Pages/profinfo.aspx,מידע מקצועי לרופאים,doctorPage,teamPage,0.82,מידע מקצועי לרופאים https://hospitals.clalit.co.il/geha/he/Pages/searchresult.aspx#k=%d7%9e%d7%99%d7%93%d7%a2%20%d7%9e%d7%a7%d7%a6%d7%95%d7%a2%d7%99%20%d7%9c%d7%a8%d7%95%d7%a4%d7%90%d7%99%d7%9d
https://hospitals.clalit.co.il/geha/he/pro/Pages/team.aspx,https://hospitals.clalit.co.il/geha/he/pro/Pages/team.aspx,רשימת המומחים שלנו,teamPage,teamPage,0.82,רשימת המומחים שלנו https://hospitals.clalit.co.il/geha/he/pro/Pages/team.aspx
https://hospitals.clalit.co.il/geha/he/pub/Pages/staff.aspx,https://hospitals.clalit.co.il/geha/he/pro/Pages/team.aspx,מפגשי צוות (Staff Meetings),teamPage,teamPage,0.82,מפגשי צוות (Staff Meetings) https://hospitals.clalit.co.il/geha/he/pub/Pages/staff.aspx
https://hospitals.clalit.co.il/geha/he/stud/Pages/profinfo.aspx,https://hospitals.clalit.co.il/geha/he/pro/Pages/team.aspx,מידע מקצועי לרופאים ראשוניים,doctorPage,teamPage,0.82,מידע מקצועי לרופאים ראשוניים https://hospitals.clalit.co.il/geha/he/stud/Pages/profinfo.aspx
https://hospitals.clalit.co.il/geha/he/pro/Pages/default.aspx,https://hospitals.clalit.co.il/geha/he/pro/Pages/team.aspx,המומחים שלנו,unknown,teamPage,0.65,המומחים שלנו https://hospitals.clalit.co.il/geha/he/pro/Pages/default.aspx
