url,sourceUrl,anchorText,patternType,parserFamily,confidence,evidence
https://hymc.org.il/?CategoryID=297,https://hymc.org.il/?CategoryID=204,הצוות שלנו,teamPage,teamPage,0.82,הצוות שלנו https://hymc.org.il/?CategoryID=297
https://hymc.org.il/?CategoryID=620,https://hymc.org.il/?CategoryID=614&ArticleID=1507,הצוות שלנו,teamPage,teamPage,0.82,הצוות שלנו https://hymc.org.il/?CategoryID=620
https://hymc.org.il/?CategoryID=639,https://hymc.org.il/?CategoryID=614&ArticleID=1507,הצוות שלנו,teamPage,teamPage,0.82,הצוות שלנו https://hymc.org.il/?CategoryID=639
https://hymc.org.il/?CategoryID=647,https://hymc.org.il/?CategoryID=614&ArticleID=1507,הצוות שלנו,teamPage,teamPage,0.82,הצוות שלנו https://hymc.org.il/?CategoryID=647
https://hymc.org.il/nashim?CategoryID=25&ArticleID=12657,https://hymc.org.il/nashim?CategoryID=407,הרופאים הצילו את ראייתו של בן 13 באמצעות שתל תלת-ממד,doctorPage,inlineStaff,0.82,הרופאים הצילו את ראייתו של בן 13 באמצעות שתל תלת-ממד https://hymc.org.il/nashim?CategoryID=25&ArticleID=12657
https://hymc.org.il/nashim?CategoryID=297,https://hymc.org.il/nashim?CategoryID=407,הצוות שלנו,teamPage,teamPage,0.82,הצוות שלנו https://hymc.org.il/nashim?CategoryID=297
https://hymc.org.il/nashim?CategoryID=407,https://hymc.org.il/nashim,צוות המחלקה,teamPage,teamPage,0.82,צוות המחלקה https://hymc.org.il/nashim?CategoryID=407
https://hymc.org.il/nashim?CategoryID=408,https://hymc.org.il/nashim,צוות המחלקה,teamPage,teamPage,0.82,צוות המחלקה https://hymc.org.il/nashim?CategoryID=408
https://hymc.org.il/nashim?CategoryID=434,https://hymc.org.il/nashim,צוות המחלקה,teamPage,teamPage,0.82,צוות המחלקה https://hymc.org.il/nashim?CategoryID=434
https://hymc.org.il/nashim?CategoryID=583,https://hymc.org.il/nashim,הצוות שלנו,teamPage,teamPage,0.82,הצוות שלנו https://hymc.org.il/nashim?CategoryID=583
https://hymc.org.il/nashim?CategoryID=593,https://hymc.org.il/nashim,צוות המחלקה,teamPage,teamPage,0.82,צוות המחלקה https://hymc.org.il/nashim?CategoryID=593
https://hymc.org.il/nashim?CategoryID=666,https://hymc.org.il/nashim,צוות המחלקה,teamPage,teamPage,0.82,צוות המחלקה https://hymc.org.il/nashim?CategoryID=666
https://hymc.org.il/nashim?CategoryID=667,https://hymc.org.il/nashim,צוות המחלקה,teamPage,teamPage,0.82,צוות המחלקה https://hymc.org.il/nashim?CategoryID=667
