url,sourceUrl,anchorText,patternType,parserFamily,confidence,evidence
https://www.laniado.org.il/doctor/,https://www.laniado.org.il/,איתור רופא,unknown,inlineStaff,0.65,איתור רופא https://www.laniado.org.il/doctor/
https://www.laniado.org.il/doctor/%d7%93%d7%a8-%d7%90%d7%99%d7%a0%d7%94-%d7%93%d7%95%d7%91%d7%99%d7%9f/,https://www.laniado.org.il/mahlakot/%d7%a4%d7%a0%d7%99%d7%9e%d7%99%d7%aa-%d7%90/,,unknown,inlineStaff,0.65, https://www.laniado.org.il/doctor/%d7%93%d7%a8-%d7%90%d7%99%d7%a0%d7%94-%d7%93%d7%95%d7%91%d7%99%d7%9f/
https://www.laniado.org.il/doctor/%d7%93%d7%a8-%d7%90%d7%9c%d7%99%d7%96%d7%91%d7%98%d7%94-%d7%a0%d7%99%d7%a1%d7%99%d7%9d/,https://www.laniado.org.il/mahlakot/%d7%a4%d7%a0%d7%99%d7%9e%d7%99%d7%aa-%d7%90/,,unknown,inlineStaff,0.65, https://www.laniado.org.il/doctor/%d7%93%d7%a8-%d7%90%d7%9c%d7%99%d7%96%d7%91%d7%98%d7%94-%d7%a0%d7%99%d7%a1%d7%99%d7%9d/
https://www.laniado.org.il/doctor/%d7%93%d7%a8-%d7%90%d7%9e%d7%99%d7%a8-%d7%95%d7%99%d7%a0%d7%98%d7%a8%d7%90%d7%95%d7%91/,https://www.laniado.org.il/mahlakot/%d7%90%d7%92%d7%a3-%d7%a0%d7%a9%d7%99%d7%9d-%d7%95%d7%99%d7%95%d7%9c%d7%93%d7%95%d7%aa/,,unknown,inlineStaff,0.65, https://www.laniado.org.il/doctor/%d7%93%d7%a8-%d7%90%d7%9e%d7%99%d7%a8-%d7%95%d7%99%d7%a0%d7%98%d7%a8%d7%90%d7%95%d7%91/
https://www.laniado.org.il/doctor/%d7%93%d7%a8-%d7%99%d7%a2%d7%9c-%d7%99%d7%a7%d7%9c/,https://www.laniado.org.il/mahlakot/%d7%90%d7%92%d7%a3-%d7%a0%d7%a9%d7%99%d7%9d-%d7%95%d7%99%d7%95%d7%9c%d7%93%d7%95%d7%aa/,,unknown,inlineStaff,0.65, https://www.laniado.org.il/doctor/%d7%93%d7%a8-%d7%99%d7%a2%d7%9c-%d7%99%d7%a7%d7%9c/
https://www.laniado.org.il/doctor/%d7%93%d7%a8-%d7%9e%d7%95%d7%a8%d7%99%d7%a1-%d7%95%d7%a0%d7%98%d7%95%d7%a8%d7%a8%d7%95/,https://www.laniado.org.il/mahlakot/%d7%9b%d7%99%d7%a8%d7%95%d7%a8%d7%92%d7%99%d7%94/,,unknown,inlineStaff,0.65, https://www.laniado.org.il/doctor/%d7%93%d7%a8-%d7%9e%d7%95%d7%a8%d7%99%d7%a1-%d7%95%d7%a0%d7%98%d7%95%d7%a8%d7%a8%d7%95/
https://www.laniado.org.il/doctor/%d7%93%d7%a8-%d7%9e%d7%99%d7%9b%d7%90%d7%9c-%d7%91%d7%9f-%d7%90%d7%a7%d7%95%d7%9f/,https://www.laniado.org.il/mahlakot/%d7%99%d7%9c%d7%93%d7%99%d7%9d/,,unknown,inlineStaff,0.65, https://www.laniado.org.il/doctor/%d7%93%d7%a8-%d7%9e%d7%99%d7%9b%d7%90%d7%9c-%d7%91%d7%9f-%d7%90%d7%a7%d7%95%d7%9f/
https://www.laniado.org.il/doctor/%d7%93%d7%a8-%d7%a7%d7%9c%d7%95%d7%93-%d7%a4%d7%99%d7%a7%d7%90%d7%a8/,https://www.laniado.org.il/mahlakot/%d7%90%d7%95%d7%a8%d7%98%d7%95%d7%a4%d7%93%d7%99%d7%94/,,unknown,inlineStaff,0.65, https://www.laniado.org.il/doctor/%d7%93%d7%a8-%d7%a7%d7%9c%d7%95%d7%93-%d7%a4%d7%99%d7%a7%d7%90%d7%a8/
https://www.laniado.org.il/doctor/%d7%94%d7%92%d7%91-%d7%90%d7%9c%d7%a4%d7%a1%d7%99-%d7%90%d7%95%d7%a8%d7%9c%d7%99/,https://www.laniado.org.il/mahlakot/%d7%a4%d7%a0%d7%99%d7%9e%d7%99%d7%aa-%d7%90/,,unknown,inlineStaff,0.65, https://www.laniado.org.il/doctor/%d7%94%d7%92%d7%91-%d7%90%d7%9c%d7%a4%d7%a1%d7%99-%d7%90%d7%95%d7%a8%d7%9c%d7%99/
https://www.laniado.org.il/doctor/%d7%99%d7%94%d7%95%d7%93%d7%99%d7%aa-%d7%91%d7%9f-%d7%a2%d7%9e%d7%a8%d7%9d/,https://www.laniado.org.il/mahlakot/%d7%90%d7%95%d7%a8%d7%98%d7%95%d7%a4%d7%93%d7%99%d7%94/,,unknown,inlineStaff,0.65, https://www.laniado.org.il/doctor/%d7%99%d7%94%d7%95%d7%93%d7%99%d7%aa-%d7%91%d7%9f-%d7%a2%d7%9e%d7%a8%d7%9d/
https://www.laniado.org.il/doctor/%d7%a0%d7%99%d7%a6%d7%94-%d7%91%d7%a9%d7%90%d7%a8%d7%99/,https://www.laniado.org.il/mahlakot/%d7%9b%d7%99%d7%a8%d7%95%d7%a8%d7%92%d7%99%d7%94/,,unknown,inlineStaff,0.65, https://www.laniado.org.il/doctor/%d7%a0%d7%99%d7%a6%d7%94-%d7%91%d7%a9%d7%90%d7%a8%d7%99/
