url,sourceUrl,anchorText,patternType,parserFamily,confidence,evidence
https://www.mymc.co.il/doctors/,https://www.mymc.co.il/,הצוות הרפואי,doctorPage,teamPage,0.82,הצוות הרפואי https://www.mymc.co.il/doctors/
https://www.mymc.co.il/doctors/%d7%90%d7%95%d7%93%d7%99%d7%94-%d7%92%d7%9c%d7%96%d7%a8/,https://www.mymc.co.il/children-wing/,"גב' אודיה גלזר 
 
 
 
 אחות אחראית",doctorPage,teamPage,0.82,"גב' אודיה גלזר 
 
 
 
 אחות אחראית https://www.mymc.co.il/doctors/%d7%90%d7%95%d7%93%d7%99%d7%94-%d7%92%d7%9c%d7%96%d7%a8/"
https://www.mymc.co.il/doctors/%d7%90%d7%a8%d7%96-%d7%97%d7%91%d7%a8%d7%95%d7%a0%d7%99/,https://www.mymc.co.il/wings/internal-affairs-division/,"ארז חברוני 
 
 
 
 אח אחראי דיאליזה",doctorPage,teamPage,0.82,"ארז חברוני 
 
 
 
 אח אחראי דיאליזה https://www.mymc.co.il/doctors/%d7%90%d7%a8%d7%96-%d7%97%d7%91%d7%a8%d7%95%d7%a0%d7%99/"
https://www.mymc.co.il/doctors/%d7%93%d7%91%d7%99-%d7%91%d7%a7-2/,https://www.mymc.co.il/children-wing/,"דבי בק 
 
 
 
 אחות אחראית ילדים",doctorPage,teamPage,0.82,"דבי בק 
 
 
 
 אחות אחראית ילדים https://www.mymc.co.il/doctors/%d7%93%d7%91%d7%99-%d7%91%d7%a7-2/"
https://www.mymc.co.il/doctors/%d7%93%d7%a8-%d7%90%d7%93%d7%9d-%d7%90%d7%91%d7%95-%d7%a2%d7%91%d7%99%d7%93/,https://www.mymc.co.il/main-departments/surgical-department/,"ד""ר אדם אבו-עביד",doctorPage,teamPage,0.82,"ד""ר אדם אבו-עביד https://www.mymc.co.il/doctors/%d7%93%d7%a8-%d7%90%d7%93%d7%9d-%d7%90%d7%91%d7%95-%d7%a2%d7%91%d7%99%d7%93/"
https://www.mymc.co.il/doctors/%d7%93%d7%a8-%d7%92%d7%9c%d7%99%d7%94-%d7%a8%d7%94%d7%91/,https://www.mymc.co.il/wings/internal-affairs-division/,"ד""ר גליה רהב",doctorPage,teamPage,0.82,"ד""ר גליה רהב https://www.mymc.co.il/doctors/%d7%93%d7%a8-%d7%92%d7%9c%d7%99%d7%94-%d7%a8%d7%94%d7%91/"
https://www.mymc.co.il/doctors/%d7%93%d7%a8-%d7%93%d7%a0%d7%99%d7%aa-%d7%93%d7%99%d7%99%d7%9f/,https://www.mymc.co.il/main-departments/surgical-department/,"ד""ר דנית דיין",doctorPage,teamPage,0.82,"ד""ר דנית דיין https://www.mymc.co.il/doctors/%d7%93%d7%a8-%d7%93%d7%a0%d7%99%d7%aa-%d7%93%d7%99%d7%99%d7%9f/"
https://www.mymc.co.il/doctors/%d7%93%d7%a8-%d7%97%d7%91%d7%99%d7%91-%d7%99%d7%93%d7%99%d7%93-%d7%99%d7%a2%d7%9c/,https://www.mymc.co.il/wings/internal-affairs-division/,"ד""ר חביב ידיד יעל 
 
 
 
 מנהלת מחלקת טיפול נמרץ כללי",doctorPage,teamPage,0.82,"ד""ר חביב ידיד יעל 
 
 
 
 מנהלת מחלקת טיפול נמרץ כללי https://www.mymc.co.il/doctors/%d7%93%d7%a8-%d7%97%d7%91%d7%99%d7%91-%d7%99%d7%93%d7%99%d7%93-%d7%99%d7%a2%d7%9c/"
https://www.mymc.co.il/doctors/%d7%93%d7%a8-%d7%a2%d7%a8%d7%9f-%d7%92%d7%a8%d7%99%d7%9f/,https://www.mymc.co.il/main-departments/surgical-department/,"ד""ר ערן גרין",doctorPage,teamPage,0.82,"ד""ר ערן גרין https://www.mymc.co.il/doctors/%d7%93%d7%a8-%d7%a2%d7%a8%d7%9f-%d7%92%d7%a8%d7%99%d7%9f/"
https://www.mymc.co.il/doctors/%d7%93%d7%a8-%d7%a4%d7%91%d7%9c%d7%95-%d7%9c%d7%95%d7%90%d7%99%d7%a1-%d7%96%d7%a0%d7%95%d7%a1/,https://www.mymc.co.il/main-departments/surgical-department/,"ד""ר פבלו לואיס ז'נוס",doctorPage,teamPage,0.82,"ד""ר פבלו לואיס ז'נוס https://www.mymc.co.il/doctors/%d7%93%d7%a8-%d7%a4%d7%91%d7%9c%d7%95-%d7%9c%d7%95%d7%90%d7%99%d7%a1-%d7%96%d7%a0%d7%95%d7%a1/"
