masterDeptRowId,hospitalNameRaw,hospitalNameNormalized,departmentNameRaw,departmentNameNormalized,specialtyRaw,specialtyNormalized,city,district,sourceUrlRaw,sourceUrlNormalized,sourceUrlStatus,sourceUrlPageType,discoveredFromMasterDeptUrl,nearbyDoctorOrTeamUrls,urlInspectionEvidence,providerGuess,institutionType,isResidencyHospitalCandidate,crawlPriority,crawlerStatus,deferReason
master-dept-0002-אסיא-ש-בריאות-קהילתיים-רפואת-המשפחה,אסיא ש.בריאות קהילתיים,אסיא ש.בריאות קהילתיים,,,רפואת המשפחה,רפואת המשפחה,,,https://www.assiamd.co.il/about/,https://www.assiamd.co.il/about/,pending,hospitalPage,true,,,unknown,healthFund,false,defer,pending,
master-dept-0003-שירותי-בריאות-כללית-רפואת-המשפחה,שירותי בריאות כללית,שירותי בריאות כללית,,,רפואת המשפחה,רפואת המשפחה,,,https://www.clalit.co.il/he/info/career/Pages/family_docs.aspx,https://www.clalit.co.il/he/info/career/Pages/family_docs.aspx,pending,unknown,true,,,clalit,healthFund,false,defer,supported,
master-dept-0004-מכבי-שירותי-בריאות-רפואת-המשפחה,מכבי שירותי בריאות,מכבי שירותי בריאות,,,רפואת המשפחה,רפואת המשפחה,,,https://www.maccabi4u.co.il/careers/specialization_family/info/family_medicine/,https://www.maccabi4u.co.il/careers/specialization_family/info/family_medicine/,pending,departmentPage,true,,,private,healthFund,false,defer,needsAdapter,
master-dept-0005-קופח-לאומית-רפואת-המשפחה,"קופ""ח לאומית",קופח לאומית,,,רפואת המשפחה,רפואת המשפחה,,,https://www.leumit.co.il/jobs/family-medicine-residency/family-department/,https://www.leumit.co.il/jobs/family-medicine-residency/family-department/,pending,departmentPage,true,,,private,healthFund,false,defer,needsAdapter,
master-dept-0006-קופח-מאוחדת-רפואת-המשפחה,"קופ""ח מאוחדת",קופח מאוחדת,,,רפואת המשפחה,רפואת המשפחה,,,https://www.meuhedet.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D/%D7%A7%D7%A8%D7%99%D7%99%D7%A8%D7%94-%D7%91%D7%9E%D7%90%D7%95%D7%97%D7%93%D7%AA/%D7%94%D7%AA%D7%9E%D7%97%D7%95%D7%AA-%D7%91%D7%A8%D7%A4%D7%95%D7%90%D7%AA-%D7%9E%D7%A9%D7%A4%D7%97%D7%94/,https://www.meuhedet.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D/%D7%A7%D7%A8%D7%99%D7%99%D7%A8%D7%94-%D7%91%D7%9E%D7%90%D7%95%D7%97%D7%93%D7%AA/%D7%94%D7%AA%D7%9E%D7%97%D7%95%D7%AA-%D7%91%D7%A8%D7%A4%D7%95%D7%90%D7%AA-%D7%9E%D7%A9%D7%A4%D7%97%D7%94/,pending,unknown,true,,,private,healthFund,false,defer,needsAdapter,
master-dept-0007-מרכז-לבהנ-גהה-פסיכיאטריה,"מרכז לבה""נ גהה",מרכז לבהנ גהה,,,פסיכיאטריה,פסיכיאטריה,,,https://hospitals.clalit.co.il/geha/he/stud/Pages/psychiatry.aspx,https://hospitals.clalit.co.il/geha/he/stud/Pages/psychiatry.aspx,pending,unknown,true,,,clalit,psychiatricHospital,true,medium,supported,
master-dept-0008-מרכז-לבהנ-שלוותה-פסיכיאטריה,"מרכז לבה""נ שלוותה",מרכז לבהנ שלוותה,,,פסיכיאטריה,פסיכיאטריה,,,https://hospitals.clalit.co.il/shalvata/he/residency/Pages/psychiatry_training.aspx,https://hospitals.clalit.co.il/shalvata/he/residency/Pages/psychiatry_training.aspx,pending,unknown,true,,,clalit,psychiatricHospital,true,medium,supported,
master-dept-0009-מרכז-לבהנ-מזור-פסיכיאטריה,"מרכז לבה""נ מזור",מרכז לבהנ מזור,,,פסיכיאטריה,פסיכיאטריה,,,https://www.gov.il/he/departments/mazor-health-center/govil-landing-page,https://www.gov.il/he/departments/mazor-health-center/govil-landing-page,pending,departmentPage,true,,,government,psychiatricHospital,true,medium,needsAdapter,
master-dept-0010-מרכז-לבהנ-באר-שבע-פסיכיאטריה,"מרכז לבה""נ באר שבע",מרכז לבהנ באר שבע,,,פסיכיאטריה,פסיכיאטריה,,,,,notProvided,unknown,false,,,unknown,psychiatricHospital,true,low,pending,
master-dept-0011-מרחבים-המרכז-הרפואי-לטיפול-במוח-ובנפש-באר-יעקב-נס-ציונה-פסיכיאטריה,מרחבים - המרכז הרפואי לטיפול במוח ובנפש באר יעקב נס ציונה,מרחבים המרכז הרפואי לטיפול במוח ובנפש באר יעקב נס ציונה,,,פסיכיאטריה,פסיכיאטריה,,,https://www.gov.il/he/departments/mental-health-center-beer-yaacov-ness-ziona/govil-landing-page,https://www.gov.il/he/departments/mental-health-center-beer-yaacov-ness-ziona/govil-landing-page,pending,departmentPage,true,,,government,psychiatricHospital,true,medium,needsAdapter,
