hospitalName,normalizedHospitalName,masterDeptRows,specialties,departments,providerGuess,knownAdapter,knownStartingUrls,currentReadiness,crawlReadiness,mappingReadiness,outputUsability,recommendedNextAction,deferReason,wave,directStaffUrlCount,departmentUrlCount,pendingUrlCount
"ביה""ח הדסה עין כרם",ביהח הדסה עין כרם,30,27,30,hadassah,hadassah,https://he.hadassah.org.il/medicine-specialization/internship-programs/ | https://he.hadassah.org.il/doctor-search/ | https://he.hadassah.org.il/medicine-specialization/imaging-medicine/ | https://he.hadassah.org.il/medicine-specialization/vascular-surgery-ek/ | https://he.hadassah.org.il/medicine-specialization/dermatology/ | https://he.hadassah.org.il/children/peds-surgery-enkarem/ | https://he.hadassah.org.il/medicine-specialization/specialization-in-nuclear-medicine/ | https://he.hadassah.org.il/internal/geriatrics-enkarem/,safeForFullBatch,safeForFullBatch,blocked,notUsableYet,runFullIfSafe,,1,0,6,6
מרכז רפואי מאיר,מרכז רפואי מאיר,24,20,24,clalit,meir,https://hospitals.clalit.co.il/meir/he/med/Pages/default.aspx | https://hospitals.clalit.co.il/meir/he/med/intensive/Pages/default.aspx | https://hospitals.clalit.co.il/meir/he/med/int/Pages/a.aspx | https://hospitals.clalit.co.il/meir/he/med/int/Pages/b.aspx | https://hospitals.clalit.co.il/meir/he/med/int/Pages/c.aspx | https://hospitals.clalit.co.il/meir/he/med/int/Pages/d.aspx | https://hospitals.clalit.co.il/meir/he/med/int/Pages/e.aspx | https://hospitals.clalit.co.il/meir/he/med/orto/Pages/default.aspx | https://hospitals.clalit.co.il/meir/he/med/childs/Pages/hosp.aspx | https://hospitals.clalit.co.il/meir/he/med/surgery/Pages/%D7%94%D7%9E%D7%A2%D7%A8%D7%9A-%D7%94%D7%9B%D7%99%D7%A8%D7%95%D7%A8%D7%92%D7%99.aspx | https://hospitals.clalit.co.il/meir/he/med/eyes/Pages/hosp.aspx | https://hospitals.clalit.co.il/meir/he/med/heart/Pages/hosp.aspx,safeForFullBatch,safeForFullBatch,blocked,notUsableYet,runFullIfSafe,,1,0,24,24
"מרכז רפואי ת""א סוראסקי",מרכז רפואי תא סוראסקי,24,24,24,ichilov,ichilov,https://www.tasmc.org.il/medical-services/ | https://www.tasmc.org.il/doctorssearch/,safeForFullBatch,safeForFullBatch,blocked,notUsableYet,runFullIfSafe,,1,0,0,0
"ביה""ח הדסה הר הצופים",ביהח הדסה הר הצופים,13,13,13,hadassah,hadassah,https://he.hadassah.org.il/medicine-specialization/internship-programs/ | https://he.hadassah.org.il/doctor-search/ | https://he.hadassah.org.il/children/peds-ht/ | https://he.hadassah.org.il/medicine-specialization/specialization-in-internal-medicinems/ | https://he.hadassah.org.il/medicine-specialization/physical-medicine-rehabilitation/ | https://he.hadassah.org.il/medicine-specialization/specialization-in-obstetrics-and-gynecology/ | https://he.hadassah.org.il/medicine-specialization/ms-emergency-medicine/ | https://he.hadassah.org.il/medicine-specialization/general-surgery-ms/ | https://he.hadassah.org.il/medicine-specialization/ophthalmology/ | https://he.hadassah.org.il/medicine-specialization/orthopedics/ | https://he.hadassah.org.il/anesthesia/department-anesthesia/ | https://he.hadassah.org.il/medicine-specialization/imaging-medicine/,safeForFullBatch,safeForFullBatch,blocked,notUsableYet,runFullIfSafe,,1,0,10,10
מרכז רפואי העמק,מרכז רפואי העמק,27,21,27,clalit,emek,https://hospitals.clalit.co.il/emek/he/departmentsandclinics/Pages/default.aspx | https://hospitals.clalit.co.il/emek/he/info/emek_doctors/Pages/alon_reshef.aspx | https://hospitals.clalit.co.il/emek/he/departmentsandclinics/surgery/Pages/rehabilitation_unit.aspx | https://hospitals.clalit.co.il/emek/he/departmentsandclinics/internal_departments/Pages/skin.aspx | https://hospitals.clalit.co.il/emek/he/departmentsandclinics/internal_departments/Pages/internal_department_a.aspx | https://hospitals.clalit.co.il/emek/he/departmentsandclinics/internal_departments/Pages/internal_department_b.aspx | https://hospitals.clalit.co.il/emek/he/departmentsandclinics/internal_departments/Pages/internal_department_c.aspx | https://hospitals.clalit.co.il/emek/he/departmentsandclinics/internal_departments/Pages/internal_department_d.aspx | https://hospitals.clalit.co.il/emek/he/departmentsandclinics/internal_departments/Pages/internal_department_f.aspx | https://hospitals.clalit.co.il/emek/he/departmentsandclinics/institutes/Pages/xray.aspx | https://hospitals.clalit.co.il/emek/he/departmentsandclinics/pediatric/Pages/pediatrics_department_a.aspx | https://hospitals.clalit.co.il/emek/he/departmentsandclinics/pediatric/Pages/pediatrix_department_b.aspx,safeForPilot,pilotReady,blocked,notUsableYet,runPilot,,2,1,26,27
מרכז רפואי כרמל,מרכז רפואי כרמל,25,22,25,clalit,carmel,https://hospitals.clalit.co.il/carmel/he/med_units/Pages/default.aspx | https://hospitals.clalit.co.il/carmel/he/Departments-and-Outpatient-Clinics-main/Clinical-departments-and-clinics/Eyes/Pages/Eyes-dep.aspx | https://hospitals.clalit.co.il/carmel/he/Our-doctors-and-experts/Pages/eitan_mangoubi.aspx | https://hospitals.clalit.co.il/carmel/he/Departments-and-Outpatient-Clinics-main/Clinical-departments-and-clinics/EarNoseThroatSurgery/Pages/Otolaryngology.aspx | https://hospitals.clalit.co.il/carmel/he/Departments-and-Outpatient-Clinics-main/Clinical-departments-and-clinics/children/Pages/childrens-dep.aspx | https://hospitals.clalit.co.il/carmel/he/Departments-and-Outpatient-Clinics-main/Clinical-departments-and-clinics/Internal-medicine/Pages/InternalMedicineA.aspx | https://hospitals.clalit.co.il/carmel/he/Departments-and-Outpatient-Clinics-main/Clinical-departments-and-clinics/Internal-medicine/Pages/InternalMedicineB.aspx | https://hospitals.clalit.co.il/carmel/he/Departments-and-Outpatient-Clinics-main/Clinical-departments-and-clinics/Internal-medicine/Pages/InternalMedicineC.aspx | https://hospitals.clalit.co.il/carmel/he/Departments-and-Outpatient-Clinics-main/Clinical-departments-and-clinics/Cardiology/Pages/Cardiology-Hospitalization-Department.aspx | https://hospitals.clalit.co.il/carmel/he/Departments-and-Outpatient-Clinics-main/Clinical-departments-and-clinics/Surgical-world/Pages/SurgicalA.aspx | https://hospitals.clalit.co.il/carmel/he/Departments-and-Outpatient-Clinics-main/Clinical-departments-and-clinics/Surgical-world/Pages/SurgicalB.aspx | https://hospitals.clalit.co.il/carmel/he/Departments-and-Outpatient-Clinics-main/Clinical-departments-and-clinics/Pages/Plastic-Surgery.aspx,safeForPilot,pilotReady,blocked,notUsableYet,runPilot,,2,1,21,22
מרכז רפואי סורוקה,מרכז רפואי סורוקה,34,24,34,clalit,soroka,https://hospitals.clalit.co.il/soroka/he/med-units/Pages/default.aspx | https://hospitals.clalit.co.il/soroka/he/our-specialists/Pages/default.aspx | https://hospitals.clalit.co.il/soroka/he/med-units/psychiatry/Pages/psyc-ped.aspx | https://hospitals.clalit.co.il/soroka/he/med-units/surgery-division/pages/urology.aspx | https://hospitals.clalit.co.il/soroka/he/med-units/Pages/isotop-pet-ct.aspx,safeForPilot,pilotReady,blocked,notUsableYet,runPilot,,2,0,3,3
מרכז רפואי קפלן,מרכז רפואי קפלן,25,22,25,clalit,kaplan,https://hospitals.clalit.co.il/kaplan/he/med_units/Pages/default.aspx | https://hospitals.clalit.co.il/kaplan/he/med_units/Pages/er-emergencyroom.aspx | https://hospitals.clalit.co.il/kaplan/he/med_units/children/Pages/default.aspx | https://hospitals.clalit.co.il/kaplan/he/med_units/eyes/Pages/default.aspx | https://hospitals.clalit.co.il/kaplan/he/med_units/cardiology/Pages/loby-kart.aspx | https://hospitals.clalit.co.il/kaplan/he/med_units/surgery/Pages/plastic_surgery.aspx | https://hospitals.clalit.co.il/kaplan/he/med_units/internal_a/Pages/internal_a_unit.aspx | https://hospitals.clalit.co.il/kaplan/he/med_units/internal_b/Pages/internal_b_unit.aspx | https://hospitals.clalit.co.il/kaplan/he/med_units/internal_c/Pages/internal_c_unit.aspx | https://hospitals.clalit.co.il/kaplan/he/med_units/internal_d/Pages/internal_d_unit.aspx | https://hospitals.clalit.co.il/kaplan/he/med_units/x_ray/Pages/default.aspx | https://hospitals.clalit.co.il/kaplan/he/med_units/women_maternity/Pages/lobby.aspx,safeForPilot,pilotReady,blocked,notUsableYet,runPilot,,2,0,22,22
"ביה""ח בילינסון מרכז רפואי רבין",ביהח בילינסון מרכז רפואי רבין,24,24,24,clalit,rabin,https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/Pages/default.aspx,safeForPilot,pilotReady,blocked,notUsableYet,runPilot,,2,0,0,0
מרכז רפואי רבין,מרכז רפואי רבין,24,24,24,clalit,rabin,https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/Pages/default.aspx | https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/imaging/Pages/imaging_beilinson.aspx | https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/urology/Pages/urology.aspx | https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/ophthalmology/Pages/ophthalmology.aspx | https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/pathology/Pages/pathology.aspx,safeForPilot,pilotReady,blocked,notUsableYet,runPilot,,2,0,4,4
