hospitalName,hospitalSlug,providerGuess,masterDeptRows,rowsWithUrls,liveUrlRows,nearbyDoctorOrTeamUrlRows,existingAdapterParserFamily,institutionType,isResidencyHospitalCandidate,crawlPriority,seedUrlCount,safeSeedUrlCount,needsManualSeedUrl,expectedCrawlReadiness,expectedMappingReadiness,priority,reasonForPriority,plannedAction
מרכז רפואי שיבא,sheba,sheba,38,3,0,0,doctorIndexAssisted+jsDriven+unknown,acuteHospital,true,high,0,0,false,blocked,reviewNeeded,low,explicitly deferred hard case; 3 Master_Dept URLs; parser=doctorIndexAssisted+jsDriven+unknown,defer
מרכז רפואי סורוקה,soroka,clalit,34,3,0,0,inlineStaff+doctorIndexAssisted,acuteHospital,true,high,0,0,false,blocked,reviewNeeded,low,explicitly deferred hard case; 3 Master_Dept URLs; parser=inlineStaff+doctorIndexAssisted,defer
מרכז רפואי ברזילי,barzilai,government,25,7,7,7,,acuteHospital,true,high,0,0,false,needsAdapter,partiallyMapped,low,already has usable prior output; 7 Master_Dept URLs; 7 live/redirected URLs; 7 nearby doctor/team rows; synthetic generic parser,skipAlreadyUsable
"ביה""ח המשפחה הקדושה",holy-family,unknown,6,6,6,6,,acuteHospital,true,high,0,0,false,needsAdapter,partiallyMapped,low,already has usable prior output; 6 Master_Dept URLs; 6 live/redirected URLs; 6 nearby doctor/team rows; synthetic generic parser,skipAlreadyUsable
"ביה""ח הצרפתי",saint-vincent,unknown,4,4,4,4,,acuteHospital,true,high,0,0,false,needsAdapter,partiallyMapped,low,already has usable prior output; 4 Master_Dept URLs; 4 live/redirected URLs; 4 nearby doctor/team rows; synthetic generic parser,skipAlreadyUsable
"ביה""ח אי.מ.מ.ס הסקוטי",nazareth-scottish,unknown,10,8,8,0,,acuteHospital,true,high,0,0,false,needsAdapter,reviewNeeded,low,already has usable prior output; 8 Master_Dept URLs; 8 live/redirected URLs; synthetic generic parser,skipAlreadyUsable
מרכז שניידר לילדים,schneider,clalit,6,6,6,0,,acuteHospital,true,high,0,0,false,pilotReady,reviewNeeded,low,already has usable prior output; 6 Master_Dept URLs; 6 live/redirected URLs; synthetic generic parser,skipAlreadyUsable
המרכז הרפואי לגליל,galilee,government,29,28,0,0,inlineStaff+teamPage+unknown,acuteHospital,true,high,0,0,false,pilotReady,reviewNeeded,low,already has usable prior output; 28 Master_Dept URLs; parser=inlineStaff+teamPage+unknown,skipAlreadyUsable
מרכז רפואי העמק,emek,clalit,27,27,0,0,teamPage+inlineStaff+classicDoctorCards,acuteHospital,true,high,0,0,false,pilotReady,partiallyMapped,low,already has usable prior output; 27 Master_Dept URLs; 1 direct staff/doctors URLs; parser=teamPage+inlineStaff+classicDoctorCards,skipAlreadyUsable
מרכז רפואי יצחק שמיר,shamir,government,27,26,0,0,inlineStaff+teamPage+unknown,acuteHospital,true,high,0,0,false,pilotReady,reviewNeeded,low,already has usable prior output; 26 Master_Dept URLs; parser=inlineStaff+teamPage+unknown,skipAlreadyUsable
מרכז רפואי מאיר,meir,clalit,24,24,0,0,teamPage+inlineStaff+unknown,acuteHospital,true,high,0,0,false,safeForFullBatch,reviewNeeded,low,already has usable prior output; 24 Master_Dept URLs; parser=teamPage+inlineStaff+unknown,skipAlreadyUsable
מרכז רפואי כרמל,carmel,clalit,25,22,0,0,teamPage+inlineStaff,acuteHospital,true,high,0,0,false,pilotReady,partiallyMapped,low,already has usable prior output; 22 Master_Dept URLs; 1 direct staff/doctors URLs; parser=teamPage+inlineStaff,skipAlreadyUsable
מרכז רפואי קפלן,kaplan,clalit,25,22,0,0,teamPage+inlineStaff+classicDoctorCards,acuteHospital,true,high,0,0,false,pilotReady,reviewNeeded,low,already has usable prior output; 22 Master_Dept URLs; parser=teamPage+inlineStaff+classicDoctorCards,skipAlreadyUsable
מרכז רפואי בני ציון,bnei-zion,government,21,20,0,0,,acuteHospital,true,high,0,0,false,needsAdapter,reviewNeeded,low,already has usable prior output; 20 Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
"ביה""ח זיו - צפת",ziv,government,20,16,0,0,,acuteHospital,true,high,0,0,false,needsAdapter,reviewNeeded,low,already has usable prior output; 16 Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
מרכז רפואי ברוך פדה פוריה,poria,government,16,13,0,0,,acuteHospital,true,high,0,0,false,needsAdapter,reviewNeeded,low,already has usable prior output; 13 Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
"ביה""ח לניאדו",laniado,private,11,11,0,0,inlineStaff+teamPage+unknown,privateNetwork,true,high,0,0,false,pilotReady,reviewNeeded,low,already has usable prior output; 11 Master_Dept URLs; parser=inlineStaff+teamPage+unknown,skipAlreadyUsable
"ביה""ח הדסה הר הצופים",hadassah,hadassah,13,10,0,0,searchDriven+jsDriven+unknown,acuteHospital,true,high,0,0,false,safeForFullBatch,reviewNeeded,low,already has usable prior output; 10 Master_Dept URLs; parser=searchDriven+jsDriven+unknown,skipAlreadyUsable
מרכז רפואי הלל יפה,hillel-yaffe,government,19,9,0,0,,acuteHospital,true,high,0,0,false,needsAdapter,reviewNeeded,low,already has usable prior output; 9 Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
מרכז רפואי וולפסון,wolfson,government,25,8,0,0,teamPage+inlineStaff+unknown,acuteHospital,true,high,0,0,false,pilotReady,partiallyMapped,low,already has usable prior output; 8 Master_Dept URLs; 4 direct staff/doctors URLs; parser=teamPage+inlineStaff+unknown,skipAlreadyUsable
"ביה""ח השרון מרכז רפואי רבין",rabin,clalit,12,7,0,0,classicDoctorCards+teamPage,acuteHospital,true,high,0,0,false,pilotReady,reviewNeeded,low,already has usable prior output; 7 Master_Dept URLs; parser=classicDoctorCards+teamPage,skipAlreadyUsable
"ביה""ח הדסה עין כרם",hadassah,hadassah,30,6,0,0,searchDriven+jsDriven+unknown,acuteHospital,true,high,0,0,false,safeForFullBatch,reviewNeeded,low,already has usable prior output; 6 Master_Dept URLs; parser=searchDriven+jsDriven+unknown,skipAlreadyUsable
"ביה""ח מעיני הישועה",maayanei-hayeshua,private,6,6,0,0,teamPage+inlineStaff+unknown,privateNetwork,true,high,0,0,false,pilotReady,partiallyMapped,low,already has usable prior output; 6 Master_Dept URLs; 2 direct staff/doctors URLs; parser=teamPage+inlineStaff+unknown,skipAlreadyUsable
מרכז רפואי רבין,rabin,clalit,24,4,0,0,classicDoctorCards+teamPage,acuteHospital,true,high,0,0,false,pilotReady,reviewNeeded,low,already has usable prior output; 4 Master_Dept URLs; parser=classicDoctorCards+teamPage,skipAlreadyUsable
"בי""ח אסותא אשדוד",assuta-ashdod,private,18,4,0,0,,privateNetwork,true,high,0,0,false,needsAdapter,reviewNeeded,low,already has usable prior output; 4 Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
"מרכז לבה""נ גהה",geha,clalit,2,2,0,0,,psychiatricHospital,true,medium,0,0,false,pilotReady,reviewNeeded,low,already has usable prior output; 2 Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
"מרכז לבה""נ שלוותה",shalvata,clalit,2,2,0,0,,psychiatricHospital,true,medium,0,0,false,pilotReady,reviewNeeded,low,already has usable prior output; 2 Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
"מרכז לבה""נ מעלה הכרמל",carmel,clalit,2,2,0,0,,psychiatricHospital,true,medium,0,0,false,pilotReady,reviewNeeded,low,already has usable prior output; 2 Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
מרחבים - המרכז הרפואי לטיפול במוח ובנפש באר יעקב נס ציונה,merhavim,government,2,2,0,0,,psychiatricHospital,true,medium,0,0,false,needsAdapter,reviewNeeded,low,already has usable prior output; 2 Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
"מרכז לבה""נ אברבנאל",abrabanel-mental-health,government,2,2,0,0,,psychiatricHospital,true,medium,0,0,false,needsAdapter,reviewNeeded,low,already has usable prior output; 2 Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
"מרכז לבה""נ ירושלים (כפר שאול ואיתנים)",jerusalem-mental-health-kfar-shaul-eitanim,unknown,2,2,0,0,,psychiatricHospital,true,medium,0,0,false,needsAdapter,reviewNeeded,low,already has usable prior output; 2 Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
שירותי בריאות כללית,clalit-community,clalit,1,1,0,0,,healthFund,false,defer,0,0,false,pilotReady,reviewNeeded,low,already has usable prior output; 1 Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
"מרכז לבה""נ לב השרון",rabin,clalit,1,1,0,0,,psychiatricHospital,true,medium,0,0,false,pilotReady,reviewNeeded,low,already has usable prior output; 1 Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
אסיא ש.בריאות קהילתיים,asia-community-health-services,unknown,1,1,0,0,,healthFund,false,defer,0,0,false,needsAdapter,reviewNeeded,low,already has usable prior output; 1 Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
מכבי שירותי בריאות,maccabi-health-services,private,1,1,0,0,,healthFund,false,defer,0,0,false,needsAdapter,reviewNeeded,low,already has usable prior output; 1 Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
"קופ""ח לאומית",leumit-health-fund,private,1,1,0,0,,healthFund,false,defer,0,0,false,needsAdapter,reviewNeeded,low,already has usable prior output; 1 Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
"קופ""ח מאוחדת",meuhedet-health-fund,private,1,1,0,0,,healthFund,false,defer,0,0,false,needsAdapter,reviewNeeded,low,already has usable prior output; 1 Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
"מרכז לבה""נ מזור",mazor-mental-health,government,1,1,0,0,,psychiatricHospital,true,medium,0,0,false,needsAdapter,reviewNeeded,low,already has usable prior output; 1 Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
"מרכז לבה""נ שער מנשה",shaar-menashe-mental-health,unknown,1,1,0,0,,psychiatricHospital,true,medium,0,0,false,needsAdapter,reviewNeeded,low,already has usable prior output; 1 Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
מ.גריאטרי שהם,shoham-geriatric,unknown,1,1,0,0,,geriatricHospital,true,low,0,0,false,needsAdapter,reviewNeeded,low,already has usable prior output; 1 Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
מרכז רפואי שערי צדק,shaare-zedek,unknown,27,0,0,0,,acuteHospital,true,medium,1,0,true,needsAdapter,blocked,low,already has usable prior output; no Master_Dept URLs; 0/1 safe seed URLs; synthetic generic parser,skipAlreadyUsable
"מרכז רפואי ת""א סוראסקי",ichilov,ichilov,24,0,0,0,searchDriven+jsDriven+unknown,acuteHospital,true,medium,0,0,false,safeForFullBatch,blocked,low,already has usable prior output; no Master_Dept URLs; parser=searchDriven+jsDriven+unknown,skipAlreadyUsable
"ביה""ח בילינסון מרכז רפואי רבין",rabin,clalit,24,0,0,0,classicDoctorCards+teamPage,acuteHospital,true,medium,0,0,false,pilotReady,blocked,low,already has usable prior output; no Master_Dept URLs; parser=classicDoctorCards+teamPage,skipAlreadyUsable
"מרכז רפואי רמב""ם",rambam,unknown,24,0,0,0,,acuteHospital,true,medium,1,1,false,needsAdapter,hospitalRosterOnly,low,already has usable prior output; no Master_Dept URLs; 1/1 safe seed URLs; synthetic generic parser,skipAlreadyUsable
"ביה""ח יוספטל",yoseftal,clalit,2,0,0,0,,acuteHospital,true,medium,1,1,false,pilotReady,hospitalRosterOnly,low,already has usable prior output; no Master_Dept URLs; 1/1 safe seed URLs; synthetic generic parser,skipAlreadyUsable
"מרכז לבה""נ באר שבע",beer-sheva-mental-health,unknown,2,0,0,0,,psychiatricHospital,true,low,1,1,false,needsAdapter,hospitalRosterOnly,low,already has usable prior output; no Master_Dept URLs; 1/1 safe seed URLs; synthetic generic parser,skipAlreadyUsable
"מרכז בריאות הנפש רמת חן ע""ש בריל",ramat-chen-brill-mental-health,unknown,2,0,0,0,,psychiatricHospital,true,low,0,0,false,needsAdapter,blocked,low,already has usable prior output; no Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
מרכז רפואי רעות,reuth-medical-center,unknown,1,0,0,0,,geriatricHospital,true,low,0,0,false,needsAdapter,blocked,low,already has usable prior output; no Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
"ביה""ח הרצוג",herzog-medical-center,unknown,1,0,0,0,,geriatricHospital,true,low,0,0,false,needsAdapter,blocked,low,already has usable prior output; no Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
מ.גריאטרי פלימן,fliman-geriatric,unknown,1,0,0,0,,geriatricHospital,true,low,0,0,false,needsAdapter,blocked,low,already has usable prior output; no Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
מ.גריאטרי בית רבקה,beit-rivka-geriatric,unknown,1,0,0,0,,geriatricHospital,true,low,0,0,false,needsAdapter,blocked,low,already has usable prior output; no Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
מ.גריאטרי שמואל הרופא,shmuel-harofe-geriatric,unknown,1,0,0,0,,geriatricHospital,true,low,0,0,false,needsAdapter,blocked,low,already has usable prior output; no Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
מרכז גריאטרי נאות המושבה,neot-hamoshava-geriatric,unknown,1,0,0,0,,geriatricHospital,true,low,0,0,false,needsAdapter,blocked,low,already has usable prior output; no Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
מ.גריאטרי הרצפלד,herzfeld-geriatric,unknown,1,0,0,0,,geriatricHospital,true,low,0,0,false,needsAdapter,blocked,low,already has usable prior output; no Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
בית בלב ראשון לציון,beit-balev-rishon-lezion,unknown,1,0,0,0,,geriatricHospital,true,low,0,0,false,needsAdapter,blocked,low,already has usable prior output; no Master_Dept URLs; synthetic generic parser,skipAlreadyUsable
