"hospitalSlug","hospitalName","institutionType","blockerType","priority","rowsAffected","urlsAttempted","sourceUrlSituation","likelyParserFamily","recommendedNextStep"
"shaare-zedek","shaare-zedek","acuteHospital","needsManualSeedUrl","high","27","","hasSeedUrl","doctorIndex","Find official public doctors/team/department seed URL before retry."
"barzilai","barzilai","acuteHospital","other","high","25","","hasMasterDeptUrls","staticTeamPage","Review source URL evidence and choose narrow adapter."
"wolfson","מרכז רפואי וולפסון","acuteHospital","unknown","high","25","","hasMasterDeptUrls","staticTeamPage","Review source URL evidence and choose narrow adapter."
"rambam","rambam","acuteHospital","noPublicRosterFound","high","24","","hasSeedUrl","doctorIndex","Find official public doctors/team/department seed URL before retry."
"bnei-zion","bnei-zion","acuteHospital","siteBlocked","high","21","","hasMasterDeptUrls","siteBlocked","Manual/approved assisted capture or official alternate URL; do not blind retry automated fetch."
"ziv","ziv","acuteHospital","siteBlocked","high","20","","hasMasterDeptUrls","siteBlocked","Manual/approved assisted capture or official alternate URL; do not blind retry automated fetch."
"assuta-ashdod","assuta-ashdod","privateNetwork","siteBlocked","medium","18","","hasMasterDeptUrls","siteBlocked","Manual/approved assisted capture or official alternate URL; do not blind retry automated fetch."
"nazareth-scottish","nazareth-scottish","acuteHospital","other","medium","10","","hasMasterDeptUrls","staticTeamPage","Review source URL evidence and choose narrow adapter."
"holy-family","holy-family","acuteHospital","other","medium","6","","hasMasterDeptUrls","staticTeamPage","Review source URL evidence and choose narrow adapter."
"schneider","schneider","acuteHospital","other","medium","6","","hasMasterDeptUrls","clalitVariant","Review source URL evidence and choose narrow adapter."
"saint-vincent","saint-vincent","acuteHospital","other","medium","4","","hasMasterDeptUrls","staticTeamPage","Review source URL evidence and choose narrow adapter."
"abrabanel-mental-health","abrabanel-mental-health","psychiatricHospital","noPublicRosterFound","medium","2","","hasMasterDeptUrls","staticTeamPage","Inspect source URLs for hidden team links or provider-specific static team parser."
"geha","geha","psychiatricHospital","other","medium","2","","hasMasterDeptUrls","clalitVariant","Review source URL evidence and choose narrow adapter."
"jerusalem-mental-health-kfar-shaul-eitanim","jerusalem-mental-health-kfar-shaul-eitanim","psychiatricHospital","other","medium","2","","hasMasterDeptUrls","staticTeamPage","Review source URL evidence and choose narrow adapter."
"merhavim","merhavim","psychiatricHospital","noPublicRosterFound","medium","2","","hasMasterDeptUrls","staticTeamPage","Inspect source URLs for hidden team links or provider-specific static team parser."
"shalvata","shalvata","psychiatricHospital","other","medium","2","","hasMasterDeptUrls","clalitVariant","Review source URL evidence and choose narrow adapter."
"asia-community-health-services","asia-community-health-services","healthFund","noPublicRosterFound","medium","1","","hasMasterDeptUrls","searchApi","Inspect source URLs for hidden team links or provider-specific static team parser."
"clalit-community","clalit-community","healthFund","noPublicRosterFound","medium","1","","hasMasterDeptUrls","clalitVariant","Inspect source URLs for hidden team links or provider-specific static team parser."
"leumit-health-fund","leumit-health-fund","healthFund","other","medium","1","","hasMasterDeptUrls","searchApi","Review source URL evidence and choose narrow adapter."
"maccabi-health-services","maccabi-health-services","healthFund","noPublicRosterFound","medium","1","","hasMasterDeptUrls","searchApi","Inspect source URLs for hidden team links or provider-specific static team parser."
"mazor-mental-health","mazor-mental-health","psychiatricHospital","noPublicRosterFound","medium","1","","hasMasterDeptUrls","staticTeamPage","Inspect source URLs for hidden team links or provider-specific static team parser."
"meuhedet-health-fund","meuhedet-health-fund","healthFund","noPublicRosterFound","medium","1","","hasMasterDeptUrls","searchApi","Inspect source URLs for hidden team links or provider-specific static team parser."
"shaar-menashe-mental-health","shaar-menashe-mental-health","psychiatricHospital","noPublicRosterFound","medium","1","","hasMasterDeptUrls","staticTeamPage","Inspect source URLs for hidden team links or provider-specific static team parser."
"shoham-geriatric","shoham-geriatric","geriatricHospital","noPublicRosterFound","medium","1","","hasMasterDeptUrls","staticTeamPage","Inspect source URLs for hidden team links or provider-specific static team parser."
"beer-sheva-mental-health","beer-sheva-mental-health","psychiatricHospital","noPublicRosterFound","low","2","","hasSeedUrl","staticTeamPage","Find official public doctors/team/department seed URL before retry."
"ramat-chen-brill-mental-health","ramat-chen-brill-mental-health","psychiatricHospital","noMasterDeptSourceUrl","low","2","","noMasterDeptUrls","staticTeamPage","Find official public doctors/team/department seed URL before retry."
"yoseftal","yoseftal","acuteHospital","other","low","2","","hasSeedUrl","clalitVariant","Find official public doctors/team/department seed URL before retry."
"0504048312","0504048312","acuteHospital","noMasterDeptSourceUrl","low","1","","noMasterDeptUrls","doctorIndex","Find official public doctors/team/department seed URL before retry."
"adi-negev-nahalat-eden","adi-negev-nahalat-eden","geriatricHospital","noMasterDeptSourceUrl","low","1","","noMasterDeptUrls","unknown","Find official public doctors/team/department seed URL before retry."
"beit-balev-rishon-lezion","beit-balev-rishon-lezion","geriatricHospital","noMasterDeptSourceUrl","low","1","","noMasterDeptUrls","unknown","Find official public doctors/team/department seed URL before retry."
"beit-rivka-geriatric","beit-rivka-geriatric","geriatricHospital","noMasterDeptSourceUrl","low","1","","noMasterDeptUrls","unknown","Find official public doctors/team/department seed URL before retry."
"fliman-geriatric","fliman-geriatric","geriatricHospital","noMasterDeptSourceUrl","low","1","","noMasterDeptUrls","unknown","Find official public doctors/team/department seed URL before retry."
"forensic-medicine","forensic-medicine","unknown","noMasterDeptSourceUrl","low","1","","noMasterDeptUrls","unknown","Find official public doctors/team/department seed URL before retry."
"herzfeld-geriatric","herzfeld-geriatric","geriatricHospital","noMasterDeptSourceUrl","low","1","","noMasterDeptUrls","unknown","Find official public doctors/team/department seed URL before retry."
"herzog-medical-center","herzog-medical-center","geriatricHospital","noMasterDeptSourceUrl","low","1","","noMasterDeptUrls","unknown","Find official public doctors/team/department seed URL before retry."
"loewenstein-rehabilitation","loewenstein-rehabilitation","rehabilitationHospital","noMasterDeptSourceUrl","low","1","","noMasterDeptUrls","unknown","Find official public doctors/team/department seed URL before retry."
"neot-hamoshava-geriatric","neot-hamoshava-geriatric","geriatricHospital","noMasterDeptSourceUrl","low","1","","noMasterDeptUrls","unknown","Find official public doctors/team/department seed URL before retry."
"netanya-geriatric","netanya-geriatric","geriatricHospital","noMasterDeptSourceUrl","low","1","","noMasterDeptUrls","unknown","Find official public doctors/team/department seed URL before retry."
"reuth-medical-center","reuth-medical-center","geriatricHospital","noMasterDeptSourceUrl","low","1","","noMasterDeptUrls","unknown","Find official public doctors/team/department seed URL before retry."
"shmuel-harofe-geriatric","shmuel-harofe-geriatric","geriatricHospital","noMasterDeptSourceUrl","low","1","","noMasterDeptUrls","unknown","Find official public doctors/team/department seed URL before retry."
"hospital-08078cfe7d","hospital-08078cfe7d","unknown","noMasterDeptSourceUrl","low","0","","noMasterDeptUrls","unknown","Find official public doctors/team/department seed URL before retry."
"hospital-3a3abf9b65","hospital-3a3abf9b65","unknown","noMasterDeptSourceUrl","low","0","","noMasterDeptUrls","unknown","Find official public doctors/team/department seed URL before retry."
"hospital-a3603919b1","hospital-a3603919b1","unknown","noMasterDeptSourceUrl","low","0","","noMasterDeptUrls","unknown","Find official public doctors/team/department seed URL before retry."
"lev-hasharon","lev-hasharon","unknown","noPublicRosterFound","low","0","","noMasterDeptUrls","unknown","Find official public doctors/team/department seed URL before retry."
"maale-hacarmel","maale-hacarmel","unknown","other","low","0","","noMasterDeptUrls","unknown","Find official public doctors/team/department seed URL before retry."
