"hospitalSlug","hospitalName","institutionType","outputUsability","canonicalDoctorId","fullName","normalizedName","profileUrl","roleOrTitle","profileCompleteness","sourceUrlsCount","evidenceCount","cautionFlags","needsManualReview","sourceFile"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-073a181846e746b2","ד""ר אבראהים נסר אלדין","אבראהים נסר אלדין","https://he.hadassah.org.il/doctorsdoctor/00035261/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-54f913340109443c","ד""ר אדיר ישראלי","אדיר ישראלי","https://he.hadassah.org.il/doctorsdoctor/00043377/","ד""ר רופא/ה (מכבי)","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-e6493c43d2f37141","ד""ר אחמד הייב","אחמד הייב","https://he.hadassah.org.il/doctorsdoctor/00037723/","ד""ר רופא (גישור)","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-94bb67aa6754edb9","ד""ר איה נאמארי","איה נאמארי","https://he.hadassah.org.il/doctorsdoctor/00046364/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-96fe70a9988ce595","ד""ר איילת רוטר","איילת רוטר","https://he.hadassah.org.il/doctorsdoctor/00038442/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-439d2d7d640addc8","ד""ר אימן אבו רמילה","אימן אבו רמילה","https://he.hadassah.org.il/doctorsdoctor/00017898/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-9d1e5fc8d889fd72","ד""ר אלאא דבש","אלאא דבש","https://he.hadassah.org.il/doctorsdoctor/00046480/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-1716916855dfc862","ד""ר אלאא דנון","אלאא דנון","https://he.hadassah.org.il/doctorsdoctor/00040274/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-db120a425df105b6","ד""ר אלחנן פריד","אלחנן פריד","https://he.hadassah.org.il/doctorsdoctor/00014521/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-0cb5953016760076","ד""ר אליהו צאיג","אליהו צאיג","https://he.hadassah.org.il/doctorsdoctor/00019611/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-d7143aed909ac280","ד""ר אלכסנדר חיימוב","אלכסנדר חיימוב","https://he.hadassah.org.il/doctorsdoctor/00019366/","ד""ר רופא שיניים","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-b63b5851bd8847fd","ד""ר אלנה גולזנד","אלנה גולזנד","https://he.hadassah.org.il/doctorsdoctor/00013019/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-57671c6fa308423c","ד""ר אמל דלאשה","אמל דלאשה","https://he.hadassah.org.il/doctorsdoctor/00020368/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-971dd0ac348ec9eb","ד""ר בהא זרו","בהא זרו","https://he.hadassah.org.il/doctorsdoctor/00037406/","ד""ר רופא","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-6023f0ae965da46f","ד""ר גבריאלה סנוימן","גבריאלה סנוימן","https://he.hadassah.org.il/doctorsdoctor/00040404/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-1bdb0337e66b9d1c","ד""ר גיא טוביאס","גיא טוביאס","https://he.hadassah.org.il/doctorsdoctor/00019692/","ד""ר רופא שיניים","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-2f0974747617c7ff","ד""ר דאניה גבר","דאניה גבר","https://he.hadassah.org.il/doctorsdoctor/00040299/","ד""ר סטאז'ר לרפואה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-997715c311caeb38","ד""ר דינה גבר","דינה גבר","https://he.hadassah.org.il/doctorsdoctor/00046483/","ד""ר רופא/ה (גישור)","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-8768e777145f9782","ד""ר האני סיאג","האני סיאג","https://he.hadassah.org.il/doctorsdoctor/00041981/","ד""ר רופא/ה (מכבי)","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-170215069feb4db6","ד""ר חאפז גוויחאן","חאפז גוויחאן","https://he.hadassah.org.il/doctorsdoctor/00044928/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-61b0f7572d8e896c","ד""ר יהונתן כהן","יהונתן כהן","https://he.hadassah.org.il/doctorsdoctor/00043878/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-0ab513d78d7c2aa8","פרופ' יובל ורד","יובל ורד","https://he.hadassah.org.il/doctorsdoctor/00012093/","פרופ' מנהל מחלקת רפואת שיניים קהילתית","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-dbd61b3a806db77e","ד""ר יונתן בכרך","יונתן בכרך","https://he.hadassah.org.il/doctorsdoctor/00044016/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-ef599d2e98181dda","ד""ר יוסף קדומי","יוסף קדומי","https://he.hadassah.org.il/doctorsdoctor/00046391/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-a9e0e6aed4ed794d","פרופ' יניב שרר","יניב שרר","https://he.hadassah.org.il/doctorsdoctor/00043910/","פרופ' מנהל/ת בית חולים עין כרם","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-7532be5f284f2d7e","ד""ר יעל לוי","יעל לוי","https://he.hadassah.org.il/doctorsdoctor/00039496/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-fb86a914904bc50f","ד""ר ישי גרואר","ישי גרואר","https://he.hadassah.org.il/doctorsdoctor/00045327/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-e3378cd3e1593b79","ד""ר לאון מוסקוביץ פרדומו","לאון מוסקוביץ פרדומו","https://he.hadassah.org.il/doctorsdoctor/00036883/","ד""ר רופא(גישור)","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-80b682dc6d4bf1c1","ד""ר ליאור נוה","ליאור נוה","https://he.hadassah.org.il/doctorsdoctor/00034602/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-c83fbb6d3eb4b43f","ד""ר למה עסאף-ג`ברין","למה עסאף ג`ברין","https://he.hadassah.org.il/doctorsdoctor/00016647/","ד""ר רופא/ת שיניים","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-3fcf08a36bdcbfd1","ד""ר מאזן ברהום","מאזן ברהום","https://he.hadassah.org.il/doctorsdoctor/00034726/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-16d87008f6adbbfe","ד""ר מוחמד ג'בר","מוחמד גבר","https://he.hadassah.org.il/doctorsdoctor/00041546/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-a3a282ab122c3cfe","ד""ר מוראד שקיראת","מוראד שקיראת","https://he.hadassah.org.il/doctorsdoctor/00042061/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-b861bc01342c0983","ד""ר מחמוד גרייב","מחמוד גרייב","https://he.hadassah.org.il/doctorsdoctor/00045620/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-e443a0fa51170f4f","פרופ' מרדכי מושקט","מרדכי מושקט","https://he.hadassah.org.il/doctorsdoctor/00012174/","פרופ' מנהל/ת מחלקת פנימית הר הצופים","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-a8f3798272a4c09f","ד""ר נועם בן יוסף","נועם בן יוסף","https://he.hadassah.org.il/doctorsdoctor/00034910/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-77161bbb0cbe1e7b","ד""ר נועם כהן","נועם כהן","https://he.hadassah.org.il/doctorsdoctor/00035671/","ד""ר עוזר רופא-סטודנט לרפואה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-339d2924854a5ff7","ד""ר סנאן אבו ליל","סנאן אבו ליל","https://he.hadassah.org.il/doctorsdoctor/00014158/","ד""ר מנהל/ת מחלקת נאונטולוגיה הר הצופים","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-92098b54195794ee","ד""ר עדי הולנדר","עדי הולנדר","https://he.hadassah.org.il/doctorsdoctor/00042959/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-e8115ef20ee679e0","ד""ר עומר זחאיקה","עומר זחאיקה","https://he.hadassah.org.il/doctorsdoctor/00038351/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-dfd719113699f5c2","ד""ר עומר חמצני","עומר חמצני","https://he.hadassah.org.il/doctorsdoctor/00037125/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-d873641599d27bc4","ד""ר עירא ארליכמן","עירא ארליכמן","https://he.hadassah.org.il/doctorsdoctor/00017677/","ד""ר מנהל/ת יחידת יילודים ה""צ","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-43fe4bcb4535cb87","ד""ר ענת אלעזרי","ענת אלעזרי","https://he.hadassah.org.il/doctorsdoctor/00013817/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-d119d41543039146","ד""ר קאסם נמר","קאסם נמר","https://he.hadassah.org.il/doctorsdoctor/00034584/","ד""ר רופא","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-8cb92cdfd10f7d09","ד""ר רוני בן עמי","רוני בן עמי","https://he.hadassah.org.il/doctorsdoctor/00036578/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-8e3eeda89b57bbcb","ד""ר רפאל ליבר","רפאל ליבר","https://he.hadassah.org.il/doctorsdoctor/00037543/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-1364201e41d71918","ד""ר שאול יערי","שאול יערי","https://he.hadassah.org.il/doctorsdoctor/00015918/","ד""ר מנהל/ת היחידה לאשפוז יום פנימי ה""צ","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-0ccc9c14f9f9eea1","ד""ר שני אמיתי","שני אמיתי","https://he.hadassah.org.il/doctorsdoctor/00041814/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","doctor-aa3f3abbb5abbec9","ד""ר שרה ברכה בן ציוני","שרה ברכה בן ציוני","https://he.hadassah.org.il/doctorsdoctor/00039381/","ד""ר רופא/ה","partial","1","2","hospitalRosterOnly","true","data/crawler/hospitals/hadassah/reviewed/doctors-reviewed.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-2208de54346e1357","ד""ר אביתר נשר","אביתר נשר","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/organ-transplantation/Pages/dr_e_nesher.aspx","ד""ר","full","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-13097a626bf2c5ca","ד""ר אוהד שושני","אוהד שושני","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/urology/Pages/sexual_function_and_fertility.aspx","ד""ר","full","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-a06bbf760bb48a42","ד""ר און רוזן","און רוזן","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/nashimbeilinson/Pages/dr_o_rozen.aspx","ד""ר","full","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-2d235569add77925","ד""ר אורלי סנה ארביב","אורלי סנה ארביב","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/liver/Pages/dr_o_sne_arviv.aspx","ד""ר","full","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-0635732fe28d16c9","ד""ר איתי גבאי","איתי גבאי","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/ophthalmology/Pages/dr_i_gabbay.aspx","ד""ר","full","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-dfe9671dd857b5c4","פרופ' איתן אוריאל","איתן אוריאל","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/neurology/Pages/prof_e_auriel.aspx","פרופ'","full","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-92273e04115ed302","ד""ר אסנת שטרייכמן","אסנת שטרייכמן","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/pulmonary/Pages/dr_o_shtraichman.aspx","ד""ר","full","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-5d13e93dbb035a13","ד""ר אסף יששכר","אסף יששכר","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/liver/Pages/dr_a_isaschar.aspx","ד""ר","partial","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-fd19469e265efcaf","ד""ר בן בן אברהם","בן בן אברהם","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/cardiology/Pages/dr_b_ben_avraham.aspx","ד""ר","partial","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-7ab4eba20a100fdc","ד""ר גל אבישי","גל אבישי","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/oral-and-maxillofacial-surgery/Pages/dr_g_avishay.aspx","ד""ר","partial","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-d40084d26965a82c","פרופ' גל מרקל","גל מרקל","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/dvidoff-center/Pages/prof_g_markel.aspx","פרופ'","partial","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-51a80c467763eb84","ד""ר גלית סיבק","גלית סיבק","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/vascular-surgery/Pages/dr_g_sivak.aspx","ד""ר","partial","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-bb9052e2cb2ddc98","ד""ר גרגורי גולובצ'ינר","גרגורי גולובצינר","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/cardiology/Pages/dr_g_golobziner.aspx","ד""ר","partial","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-8261d92649271de4","ד""ר דוד בן מאיר","דוד בן מאיר","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/urology/Pages/pediatric_urology.aspx","ד""ר","full","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-92c789f003fdb627","פרופ' דוד ליפשיץ","דוד ליפשיץ","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/urology/Pages/endourology_and_stones.aspx","פרופ'","full","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-26911b9d472abb6d","ד""ר דורית אשר","דורית אשר","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/nashimbeilinson/Pages/dr_d_asher.aspx","ד""ר","partial","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-cb9385962bd550b4","פרופ' דן געתון","דן געתון","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/ophthalmology/Pages/prof_d_gaton.aspx","פרופ'","partial","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-b4f18f2011acf726","ד""ר דניאל ריינהורן","דניאל ריינהורן","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/dvidoff-center/Pages/dr_d_reinhorn.aspx","ד""ר","partial","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-a67ab45441af0391","ד""ר דרור לוינר","דרור לוינר","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/cardiothoracic-surgery/Pages/dr_d_leviner.aspx","ד""ר","partial","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-4fb994e2009d4cf0","ד""ר דרור רוזנגרטן","דרור רוזנגרטן","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/pulmonary/Pages/dr_d_rosengarten.aspx","ד""ר","partial","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-19fcaa23e7824b6e","ד""ר הנרי סמואלי וד""ר סוזן סמואלי תרמו","הנרי סמואלי ודר סוזן סמואלי תרמו","https://hospitals.clalit.co.il/rabin/he/news/news_2026/Pages/the_biggest_donation.aspx","ד""ר","partial","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-edc7ad9a92a0e5db","ד""ר חנה גילת","חנה גילת","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/otolaryngology-head-and-neck-surgery/Pages/dr_h_gilat.aspx","ד""ר","partial","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-25deedf82ee5fb61","ד""ר טל שגב","טל שגב","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/vascular-surgery/Pages/dr_t_segev.aspx","ד""ר","partial","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-2f8235171446682a","ד""ר יובל יניב","יובל יניב","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/nashimbeilinson/Pages/dr_y_yaniv.aspx","ד""ר","partial","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-b9232e99a17a5ae8","ד""ר יפעת שניר","יפעת שניר","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/gastroenterology/Pages/dr_y_snir.aspx","ד""ר","partial","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-fcbb828676751762","ד""ר מוחמד כתאנה","מוחמד כתאנה","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/orthopedics/Pages/dr_m_kittani.aspx","ד""ר","partial","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-e9dbd5ed65cc6993","ד""ר מיכל כהן","מיכל כהן","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/liver/Pages/dr_mi_cohen.aspx","ד""ר","partial","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-923fa94eed04c314","ד""ר נטע לב","נטע לב","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/nephrology-and-hypertension/Pages/dr_n_lev.aspx","ד""ר","partial","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-49517f60ff2c2be0","ד""ר סלבה ברד","סלבה ברד","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/surgery/Pages/dr_b_slava.aspx","ד""ר","partial","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-8a5c102750e5ba80","ד""ר עינבל ברוך","עינבל ברוך","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/cardiothoracic-surgery/Pages/dr_i_baruch.aspx","ד""ר","partial","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","doctor-1d6950eb46daa4a9","פרופ' ערן שדות","ערן שדות","https://hospitals.clalit.co.il/rabin/he/departments-and-clinics/surgery/Pages/dr_e_sadot.aspx","פרופ'","partial","2","1","hospitalRosterOnly","true","data/crawler/hospitals/rabin/canonical/doctors.json"
