"hospitalSlug","hospitalName","canonicalDoctorId","fullName","masterDeptRowId","matchedMasterDepartmentName","matchedMasterSpecialty","departmentName","specialty","matchConfidence","matchEvidence","ambiguityReason","sourceUrl","extractedFromUrl","sourceUrlMatch","reviewNeeded","needsManualReview","manualDecision","manualNotes","reviewer","reviewedAt"
"barzilai","barzilai","doctor-6dfd07b916eef9cc","ד""ר בחטינסקי ילנה","master-dept-0325-מרכז-רפואי-ברזילי-פסיכיאטריה-של-הילד-והמתבגר","","פסיכיאטריה של הילד והמתבגר","","פסיכיאטריה של הילד והמתבגר","sourceUrlMatch","{""masterDeptSourceUrls"":[""https://www.barzilaimc.org.il/?CategoryID=240&ArticleID=3825""],""extractedFromUrl"":""https://www.barzilaimc.org.il/?CategoryID=240&ArticleID=3825"",""relationship"":""exactSourceUrl"",""reason"":""doctor source equals Master_Dept source URL""}","","https://www.barzilaimc.org.il/?CategoryID=240&ArticleID=3825","https://www.barzilaimc.org.il/?CategoryID=240&ArticleID=3825","true","false","false","","","",""
"barzilai","barzilai","doctor-07d8a1c2bf36b24e","ד""ר חדוה ספקטור- פיכולוגית קלינית בכירה","master-dept-0325-מרכז-רפואי-ברזילי-פסיכיאטריה-של-הילד-והמתבגר","","פסיכיאטריה של הילד והמתבגר","","פסיכיאטריה של הילד והמתבגר","sourceUrlMatch","{""masterDeptSourceUrls"":[""https://www.barzilaimc.org.il/?CategoryID=240&ArticleID=3825""],""extractedFromUrl"":""https://www.barzilaimc.org.il/?CategoryID=240&ArticleID=3825"",""relationship"":""exactSourceUrl"",""reason"":""doctor source equals Master_Dept source URL""}","","https://www.barzilaimc.org.il/?CategoryID=240&ArticleID=3825","https://www.barzilaimc.org.il/?CategoryID=240&ArticleID=3825","true","false","false","","","",""
"barzilai","barzilai","doctor-b7ab41b6add1fa0b","ד""ר חרקובסקי טטיאנה","master-dept-0320-מרכז-רפואי-ברזילי-אונקולוגיה","","אונקולוגיה","","אונקולוגיה","sourceUrlMatch","{""masterDeptSourceUrls"":[""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=304""],""extractedFromUrl"":""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=304"",""relationship"":""exactSourceUrl"",""reason"":""doctor source equals Master_Dept source URL""}","","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=304","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=304","true","false","false","","","",""
"barzilai","barzilai","doctor-3eec30c59d843546","ד""ר יבגניה צ'רניאבסקי- מנהלת מערך דימות ומנהלת שירות MRI","master-dept-0321-מרכז-רפואי-ברזילי-רדיולוגיה-דימות","","רדיולוגיה (דימות)","","רדיולוגיה (דימות)","sourceUrlMatch","{""masterDeptSourceUrls"":[""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440""],""extractedFromUrl"":""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440"",""relationship"":""exactSourceUrl"",""reason"":""doctor source equals Master_Dept source URL""}","","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440","true","false","false","","","",""
"barzilai","barzilai","doctor-131b8599e09292c8","ד""ר יוליה אז'יבקוב","master-dept-0321-מרכז-רפואי-ברזילי-רדיולוגיה-דימות","","רדיולוגיה (דימות)","","רדיולוגיה (דימות)","sourceUrlMatch","{""masterDeptSourceUrls"":[""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440""],""extractedFromUrl"":""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440"",""relationship"":""exactSourceUrl"",""reason"":""doctor source equals Master_Dept source URL""}","","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440","true","false","false","","","",""
"barzilai","barzilai","doctor-080197554886847b","ד""ר ישי וואהל","master-dept-0329-מרכז-רפואי-ברזילי-כירורגיה-פלסטית-ואסתטית","","כירורגיה פלסטית ואסתטית","","כירורגיה פלסטית ואסתטית","sourceUrlMatch","{""masterDeptSourceUrls"":[""https://www.barzilaimc.org.il/?CategoryID=240&ArticleID=4871""],""extractedFromUrl"":""https://www.barzilaimc.org.il/?CategoryID=240&ArticleID=4871"",""relationship"":""exactSourceUrl"",""reason"":""doctor source equals Master_Dept source URL""}","","https://www.barzilaimc.org.il/?CategoryID=240&ArticleID=4871","https://www.barzilaimc.org.il/?CategoryID=240&ArticleID=4871","true","false","false","","","",""
"barzilai","barzilai","doctor-b9e9c4776a4cb804","ד""ר לבדב ולרי","master-dept-0321-מרכז-רפואי-ברזילי-רדיולוגיה-דימות","","רדיולוגיה (דימות)","","רדיולוגיה (דימות)","sourceUrlMatch","{""masterDeptSourceUrls"":[""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440""],""extractedFromUrl"":""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440"",""relationship"":""exactSourceUrl"",""reason"":""doctor source equals Master_Dept source URL""}","","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440","true","false","false","","","",""
"barzilai","barzilai","doctor-cd2db47ff3b82fa7","ד""ר ליאפיס ויקטור","master-dept-0321-מרכז-רפואי-ברזילי-רדיולוגיה-דימות","","רדיולוגיה (דימות)","","רדיולוגיה (דימות)","sourceUrlMatch","{""masterDeptSourceUrls"":[""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440""],""extractedFromUrl"":""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440"",""relationship"":""exactSourceUrl"",""reason"":""doctor source equals Master_Dept source URL""}","","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440","true","false","false","","","",""
"barzilai","barzilai","doctor-087faae51c701aaa","ד""ר ליאפיס ויקטור- אחראי יחידה על שימעית.ד""ר ולרי לבדב","master-dept-0321-מרכז-רפואי-ברזילי-רדיולוגיה-דימות","","רדיולוגיה (דימות)","","רדיולוגיה (דימות)","sourceUrlMatch","{""masterDeptSourceUrls"":[""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440""],""extractedFromUrl"":""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440"",""relationship"":""exactSourceUrl"",""reason"":""doctor source equals Master_Dept source URL""}","","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440","true","false","false","","","",""
"barzilai","barzilai","doctor-6d241550c504a9e6","ד""ר מיכאל ורשבסקי","master-dept-0328-מרכז-רפואי-ברזילי-רפואה-פיזיקלית-ושיקום","","רפואה פיזיקלית ושיקום","","רפואה פיזיקלית ושיקום","sourceUrlMatch","{""masterDeptSourceUrls"":[""https://www.barzilaimc.org.il/?CategoryID=878&ArticleID=4195""],""extractedFromUrl"":""https://www.barzilaimc.org.il/?CategoryID=878&ArticleID=4195"",""relationship"":""exactSourceUrl"",""reason"":""doctor source equals Master_Dept source URL""}","","https://www.barzilaimc.org.il/?CategoryID=878&ArticleID=4195","https://www.barzilaimc.org.il/?CategoryID=878&ArticleID=4195","true","false","false","","","",""
"barzilai","barzilai","doctor-40d125e71fec4ef4","ד""ר סימנוביץ עזריה","master-dept-0321-מרכז-רפואי-ברזילי-רדיולוגיה-דימות","","רדיולוגיה (דימות)","","רדיולוגיה (דימות)","sourceUrlMatch","{""masterDeptSourceUrls"":[""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440""],""extractedFromUrl"":""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440"",""relationship"":""exactSourceUrl"",""reason"":""doctor source equals Master_Dept source URL""}","","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440","true","false","false","","","",""
"barzilai","barzilai","doctor-6b72434f8463a35c","ד""ר עופר ארנון","master-dept-0329-מרכז-רפואי-ברזילי-כירורגיה-פלסטית-ואסתטית","","כירורגיה פלסטית ואסתטית","","כירורגיה פלסטית ואסתטית","sourceUrlMatch","{""masterDeptSourceUrls"":[""https://www.barzilaimc.org.il/?CategoryID=240&ArticleID=4871""],""extractedFromUrl"":""https://www.barzilaimc.org.il/?CategoryID=240&ArticleID=4871"",""relationship"":""exactSourceUrl"",""reason"":""doctor source equals Master_Dept source URL""}","","https://www.barzilaimc.org.il/?CategoryID=240&ArticleID=4871","https://www.barzilaimc.org.il/?CategoryID=240&ArticleID=4871","true","false","false","","","",""
"barzilai","barzilai","doctor-0ba7c5216b62d7b1","ד""ר עזרייה סימונוביץ- סגן מנהל מערך דימות ואחראי ניורורדיולוגיה","master-dept-0321-מרכז-רפואי-ברזילי-רדיולוגיה-דימות","","רדיולוגיה (דימות)","","רדיולוגיה (דימות)","sourceUrlMatch","{""masterDeptSourceUrls"":[""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440""],""extractedFromUrl"":""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440"",""relationship"":""exactSourceUrl"",""reason"":""doctor source equals Master_Dept source URL""}","","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440","true","false","false","","","",""
"barzilai","barzilai","doctor-a578674ef0613aa3","ד""ר פלס שרון","master-dept-0320-מרכז-רפואי-ברזילי-אונקולוגיה","","אונקולוגיה","","אונקולוגיה","sourceUrlMatch","{""masterDeptSourceUrls"":[""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=304""],""extractedFromUrl"":""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=304"",""relationship"":""exactSourceUrl"",""reason"":""doctor source equals Master_Dept source URL""}","","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=304","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=304","true","false","false","","","",""
"barzilai","barzilai","doctor-76d27ef92740d70a","ד""ר צ'רניאבסקי יבגניה","master-dept-0321-מרכז-רפואי-ברזילי-רדיולוגיה-דימות","","רדיולוגיה (דימות)","","רדיולוגיה (דימות)","sourceUrlMatch","{""masterDeptSourceUrls"":[""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440""],""extractedFromUrl"":""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440"",""relationship"":""exactSourceUrl"",""reason"":""doctor source equals Master_Dept source URL""}","","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440","true","false","false","","","",""
"barzilai","barzilai","doctor-db0549bb7ac0a9da","ד""ר צרניאבסקי יבגנייה","master-dept-0321-מרכז-רפואי-ברזילי-רדיולוגיה-דימות","","רדיולוגיה (דימות)","","רדיולוגיה (דימות)","sourceUrlMatch","{""masterDeptSourceUrls"":[""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440""],""extractedFromUrl"":""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440"",""relationship"":""exactSourceUrl"",""reason"":""doctor source equals Master_Dept source URL""}","","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=440","true","false","false","","","",""
"barzilai","barzilai","doctor-9f44a087596107ff","ד""ר רן טליסמן","master-dept-0329-מרכז-רפואי-ברזילי-כירורגיה-פלסטית-ואסתטית","","כירורגיה פלסטית ואסתטית","","כירורגיה פלסטית ואסתטית","sourceUrlMatch","{""masterDeptSourceUrls"":[""https://www.barzilaimc.org.il/?CategoryID=240&ArticleID=4871""],""extractedFromUrl"":""https://www.barzilaimc.org.il/?CategoryID=240&ArticleID=4871"",""relationship"":""exactSourceUrl"",""reason"":""doctor source equals Master_Dept source URL""}","","https://www.barzilaimc.org.il/?CategoryID=240&ArticleID=4871","https://www.barzilaimc.org.il/?CategoryID=240&ArticleID=4871","true","false","false","","","",""
"barzilai","barzilai","doctor-bd083669e5c7332a","פרופ' אילן רון","master-dept-0320-מרכז-רפואי-ברזילי-אונקולוגיה","","אונקולוגיה","","אונקולוגיה","sourceUrlMatch","{""masterDeptSourceUrls"":[""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=304""],""extractedFromUrl"":""https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=304"",""relationship"":""exactSourceUrl"",""reason"":""doctor source equals Master_Dept source URL""}","","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=304","https://www.barzilaimc.org.il/?CategoryID=241&ArticleID=304","true","false","false","","","",""
