"hospitalSlug","hospitalName","institutionType","outputUsability","crawlReadiness","mappingReadiness","canonicalDoctorsCount","actualCanonicalDoctorsCount","departmentLinksCount","actualDepartmentLinksCount","reviewNeededCount","missingProfileUrlCount","profileCoveragePercent","sourceUrlMatchCount","reviewNeededLinkCount","fallbackReviewedFileUsed","validationWarningsCount","suspiciousNameCount","rawHtmlStrippedCount","possibleOutOfScopeRoleCount","cautionFlags","suggestedReviewPriority","suggestedReviewerAction"
"carmel","מרכז רפואי כרמל","","hospitalRoster","needsCalibration","reviewNeeded","381","381","381","381","381","1","99.7","0","381","false","0","13","0","0","profileCoverageLow; mappingReviewNeeded; hospitalRosterOnly","high","Review before any import."
"emek","מרכז רפואי העמק","","departmentMappedRoster","needsCalibration","partiallyMapped","11","11","11","11","12","6","45.5","10","1","false","0","6","0","0","profileCoverageLow; mappingReviewNeeded; sourceUrlMapped","high","Review before any import."
"galilee","המרכז הרפואי לגליל","","departmentMappedRoster","needsCalibration","partiallyMapped","30","30","30","30","36","24","20","24","6","false","0","1","0","0","profileCoverageLow; mappingReviewNeeded; sourceUrlMapped","high","Review before any import."
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","safeForFullBatch","hospitalRosterOnly","49","49","49","49","49","0","100","0","49","true","2","0","0","9","hospitalRosterOnly; validationFallbackUsed","high","Review before any import."
"holy-family","holy-family","","departmentMappedRoster","needsCalibration","partiallyMapped","35","35","35","35","41","28","20","29","6","false","0","3","0","0","profileCoverageLow; mappingReviewNeeded; sourceUrlMapped","high","Review before any import."
"ichilov","מרכז רפואי ת""א סוראסקי","","hospitalRoster","safeForFullBatch","hospitalRosterOnly","72","72","72","72","72","0","100","0","72","true","2","0","0","1","hospitalRosterOnly; validationFallbackUsed","high","Review before any import."
"kaplan","מרכז רפואי קפלן","","departmentMappedRoster","needsCalibration","partiallyMapped","17","17","17","17","33","11","35.3","1","16","false","0","0","0","0","profileCoverageLow; mappingReviewNeeded; sourceUrlMapped","high","Review before any import."
"laniado","ביה""ח לניאדו","","departmentMappedRoster","needsCalibration","partiallyMapped","12","12","12","12","18","6","50","6","6","false","0","1","0","0","profileCoverageLow; mappingReviewNeeded; sourceUrlMapped","high","Review before any import."
"maayanei-hayeshua","ביה""ח מעיני הישועה","","departmentMappedRoster","safeForFullBatch","partiallyMapped","27","27","27","27","16","0","100","25","2","false","0","11","3","0","mappingReviewNeeded; sourceUrlMapped","high","Review before any import."
"saint-vincent","saint-vincent","","departmentMappedRoster","needsCalibration","partiallyMapped","36","36","36","36","37","35","2.8","35","1","false","0","1","0","0","profileCoverageLow; mappingReviewNeeded; sourceUrlMapped","high","Review before any import."
"shalvata","shalvata","","hospitalRoster","needsCalibration","reviewNeeded","3","3","3","3","3","0","100","0","3","false","0","0","0","3","mappingReviewNeeded; hospitalRosterOnly","high","Review before any import."
"shamir","מרכז רפואי יצחק שמיר","","departmentMappedRoster","needsCalibration","partiallyMapped","11","11","11","11","12","5","54.5","10","1","false","0","3","0","0","profileCoverageLow; mappingReviewNeeded; sourceUrlMapped","high","Review before any import."
"soroka","Soroka Medical Center","","hospitalRoster","needsCalibration","reviewNeeded","0","0","0","0","0","0","0","0","0","false","0","0","0","0","hospitalRosterOnly","low","Spot-check before import."
"barzilai","barzilai","","departmentMappedRoster","needsCalibration","sourceUrlMapped","19","19","19","19","19","19","0","19","0","false","0","2","0","0","profileCoverageLow; sourceUrlMapped","medium","Spot-check before import."
"geha","geha","","hospitalRoster","needsCalibration","reviewNeeded","4","4","4","4","4","0","100","0","4","false","0","0","0","0","profileCoverageLow; mappingReviewNeeded; hospitalRosterOnly","medium","Spot-check before import."
"hillel-yaffe","hillel-yaffe","","departmentMappedRoster","needsCalibration","sourceUrlMapped","25","25","25","25","2","1","96","25","0","true","1","1","0","0","validationFallbackUsed","medium","Spot-check before import."
"jerusalem-mental-health-kfar-shaul-eitanim","מרכז לבה""נ ירושלים (כפר שאול ואיתנים)","psychiatricHospital","hospitalRoster","needsCalibration","reviewNeeded","4","4","4","4","4","0","100","0","4","true","1","2","0","0","hospitalRosterOnly; validationFallbackUsed","medium","Spot-check before import."
