"metric","value","notes"
"total usable rosters","26","From site-ready-rosters-index.json"
"hospitalRoster count","11","Output usability hospitalRoster only"
"departmentMappedRoster count","15","Output usability departmentMappedRoster / stronger mapping"
"safeForFullBatch","5",""
"needsCalibration","54",""
"needsAdapter","12",""
"needsManualSeedUrl","1",""
"blocked","35",""
"deferred","1",""
"remainingUnattempted","2",""
"generatedAt","2026-06-22T18:32:38.982Z","Baseline generatedAt: 2026-06-22T14:13:30.678Z"
"source files used","data/crawler/hospitals/site-ready-rosters-index.json data/crawler/hospitals/national-coverage-baseline.json data/crawler/hospitals/adapter-backlog.json",""
