"hospitalSlug","hospitalName","institutionType","outputUsability","crawlReadiness","mappingReadiness","canonicalDoctorsCount","doctorDepartmentLinksCount","sourceUrlMatchCount","reviewNeededCount","profileCoverageLow","mappingReviewNeeded","listOnlyMostly","sourceUrlMapped","canonicalDoctorsPath","doctorDepartmentLinksPath","notes","fallbackReviewedFileUsed","fallbackSourceFile","actualCanonicalDoctorsCount","actualDepartmentLinksCount"
"hadassah","ביה""ח הדסה הר הצופים","","hospitalRoster","safeForFullBatch","hospitalRosterOnly","49","49","0","49","false","false","false","false","","data/crawler/hospitals/hadassah/canonical/doctor-department-links.json","hospitalRosterOnly; validationFallbackUsed","true","data/crawler/hospitals/hadassah/canonical/doctor-department-links.json","49","49"
"rabin","ביה""ח השרון מרכז רפואי רבין","","hospitalRoster","safeForFullBatch","hospitalRosterOnly","37","37","0","37","false","true","false","false","data/crawler/hospitals/rabin/canonical/doctors.json","data/crawler/hospitals/rabin/canonical/doctor-department-links.json","mappingReviewNeeded; hospitalRosterOnly","false","","37","37"
"laniado","ביה""ח לניאדו","","departmentMappedRoster","needsCalibration","partiallyMapped","12","12","6","18","true","true","false","true","data/crawler/hospitals/laniado/canonical/doctors.json","data/crawler/hospitals/laniado/canonical/doctor-department-links.json","profileCoverageLow; mappingReviewNeeded; sourceUrlMapped","false","","12","12"
"maayanei-hayeshua","ביה""ח מעיני הישועה","","departmentMappedRoster","safeForFullBatch","partiallyMapped","27","27","25","16","false","true","false","true","data/crawler/hospitals/maayanei-hayeshua/canonical/doctors.json","data/crawler/hospitals/maayanei-hayeshua/canonical/doctor-department-links.json","mappingReviewNeeded; sourceUrlMapped","false","","27","27"
"galilee","המרכז הרפואי לגליל","","departmentMappedRoster","needsCalibration","partiallyMapped","30","30","24","36","true","true","false","true","data/crawler/hospitals/galilee/canonical/doctors.json","data/crawler/hospitals/galilee/canonical/doctor-department-links.json","profileCoverageLow; mappingReviewNeeded; sourceUrlMapped","false","","30","30"
"emek","מרכז רפואי העמק","","departmentMappedRoster","needsCalibration","partiallyMapped","11","11","10","12","true","true","false","true","data/crawler/hospitals/emek/canonical/doctors.json","data/crawler/hospitals/emek/canonical/doctor-department-links.json","profileCoverageLow; mappingReviewNeeded; sourceUrlMapped","false","","11","11"
"shamir","מרכז רפואי יצחק שמיר","","departmentMappedRoster","needsCalibration","partiallyMapped","11","11","10","12","true","true","false","true","data/crawler/hospitals/shamir/canonical/doctors.json","data/crawler/hospitals/shamir/canonical/doctor-department-links.json","profileCoverageLow; mappingReviewNeeded; sourceUrlMapped","false","","11","11"
"carmel","מרכז רפואי כרמל","","hospitalRoster","needsCalibration","reviewNeeded","381","381","0","381","true","true","false","false","data/crawler/hospitals/carmel/canonical/doctors.json","data/crawler/hospitals/carmel/canonical/doctor-department-links.json","profileCoverageLow; mappingReviewNeeded; hospitalRosterOnly","false","","381","381"
"meir","מרכז רפואי מאיר","","departmentMappedRoster","safeForFullBatch","partiallyMapped","17","17","12","5","false","false","false","false","","data/crawler/hospitals/meir/canonical/doctor-department-links.json","validationFallbackUsed","true","data/crawler/hospitals/meir/canonical/doctor-department-links.json","17","17"
"kaplan","מרכז רפואי קפלן","","departmentMappedRoster","needsCalibration","partiallyMapped","17","17","1","33","true","true","false","true","data/crawler/hospitals/kaplan/canonical/doctors.json","data/crawler/hospitals/kaplan/canonical/doctor-department-links.json","profileCoverageLow; mappingReviewNeeded; sourceUrlMapped","false","","17","17"
"ichilov","מרכז רפואי ת""א סוראסקי","","hospitalRoster","safeForFullBatch","hospitalRosterOnly","72","72","0","72","false","false","false","false","","data/crawler/hospitals/ichilov/canonical/doctor-department-links.json","hospitalRosterOnly; validationFallbackUsed","true","data/crawler/hospitals/ichilov/canonical/doctor-department-links.json","72","72"
"barzilai","barzilai","","departmentMappedRoster","needsCalibration","sourceUrlMapped","19","19","19","19","true","false","false","true","data/crawler/hospitals/barzilai/canonical/doctors.json","data/crawler/hospitals/barzilai/canonical/doctor-department-links.json","profileCoverageLow; sourceUrlMapped","false","","19","19"
"geha","geha","","hospitalRoster","needsCalibration","reviewNeeded","4","4","0","4","true","true","false","false","data/crawler/hospitals/geha/canonical/doctors.json","data/crawler/hospitals/geha/canonical/doctor-department-links.json","profileCoverageLow; mappingReviewNeeded; hospitalRosterOnly","false","","4","4"
"hillel-yaffe","hillel-yaffe","","departmentMappedRoster","needsCalibration","sourceUrlMapped","25","25","25","2","false","false","false","false","data/crawler/hospitals/hillel-yaffe/canonical/doctors.json","data/crawler/hospitals/hillel-yaffe/canonical/doctor-department-links.json","validationFallbackUsed","true","data/crawler/hospitals/hillel-yaffe/canonical/doctors.json","25","25"
"holy-family","holy-family","","departmentMappedRoster","needsCalibration","partiallyMapped","35","35","29","41","true","true","false","true","data/crawler/hospitals/holy-family/canonical/doctors.json","data/crawler/hospitals/holy-family/canonical/doctor-department-links.json","profileCoverageLow; mappingReviewNeeded; sourceUrlMapped","false","","35","35"
"jerusalem-mental-health-kfar-shaul-eitanim","מרכז לבה""נ ירושלים (כפר שאול ואיתנים)","psychiatricHospital","hospitalRoster","needsCalibration","reviewNeeded","4","4","0","4","false","false","false","false","data/crawler/hospitals/jerusalem-mental-health-kfar-shaul-eitanim/canonical/doctors.json","data/crawler/hospitals/jerusalem-mental-health-kfar-shaul-eitanim/canonical/doctor-department-links.json","hospitalRosterOnly; validationFallbackUsed","true","data/crawler/hospitals/jerusalem-mental-health-kfar-shaul-eitanim/canonical/doctors.json","4","4"
